ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,KevinHart4real,Sun Nov 29 18:19:07 +0000 2020,' u disgust me time and time again. u in fact did call ur daughter a hoe as all the quotes and video shows. if this is the kind of conversation and hype ur trying to draw around ur work then glad i dont support u anyway. ur all jokes but not in the way u think :)',0.06,0.07,0.88,0.06,0.68,0.26
2,KevinHart4real,Sun Nov 29 18:15:36 +0000 2020,' my favorite mike tyson quote is: you get knocked down 100 times - you get up 100 times - you learn 100',0.12,0.0,0.88,0.05,0.44,0.5
3,KevinHart4real,Sun Nov 29 18:13:00 +0000 2020,' amazing quote by a convicted rapist who battered women. tell me more how awesome this pos is.',0.29,0.17,0.53,0.05,0.45,0.51
4,KevinHart4real,Sun Nov 29 18:12:06 +0000 2020,""" man, that's great... now go tell nate robinson when he wakes up""",0.26,0.0,0.74,0.03,0.43,0.54
5,KevinHart4real,Sun Nov 29 18:07:30 +0000 2020,' damn hilarious man ',0.32,0.32,0.36,0.04,0.87,0.09
6,KevinHart4real,Sun Nov 29 18:07:07 +0000 2020,"""if you run out of melatonin... don't worry just watch and his #zerofsgiven special on netflix..... you'll never wake up again """,0.2,0.0,0.8,0.07,0.46,0.47
7,KevinHart4real,Sun Nov 29 18:06:45 +0000 2020,"""if you run out of melatonin... don't worry just watch and his #zerofsgiven special on netflix..... you'll never wake up again """,0.2,0.0,0.8,0.07,0.46,0.47
8,KevinHart4real,Sun Nov 29 18:05:35 +0000 2020,' damn hilarious man ',0.32,0.32,0.36,0.04,0.87,0.09
9,KevinHart4real,Sun Nov 29 18:04:34 +0000 2020,"' why ain\'t nobody worried bout my ass getting hurt, another great quote from mike "" the philosophical"" tyson.'",0.14,0.32,0.53,0.05,0.89,0.06
10,KevinHart4real,Sun Nov 29 18:04:20 +0000 2020,' must be tough lol ',0.34,0.18,0.48,0.03,0.38,0.59
11,KevinHart4real,Sun Nov 29 17:56:06 +0000 2020,' why they doing you like this kev!!!! ',0.31,0.0,0.69,0.06,0.45,0.5
12,KevinHart4real,Sun Nov 29 17:55:46 +0000 2020,"' agreed, dude has reinvented himself, amazing stuff'",0.5,0.0,0.5,0.04,0.33,0.63
13,KevinHart4real,Sun Nov 29 17:54:25 +0000 2020,' ........the convicted rapist.',0.0,0.62,0.38,0.04,0.31,0.65
14,KevinHart4real,Sun Nov 29 17:53:48 +0000 2020,"""if any of y'all need an opening act/dj for the near future, i'm ready...at 50 yrs old, this is just my second freestyle comedy clip.\n """,0.15,0.0,0.85,0.03,0.41,0.56
15,KevinHart4real,Sun Nov 29 17:50:57 +0000 2020,"'big fan of the #joeroganexperience , listening to this one again with incredible #authenticinformation #thankyouforsharing '",0.13,0.0,0.87,0.02,0.42,0.56
16,KevinHart4real,Sun Nov 29 17:48:05 +0000 2020,"' you are the most brave man i ever saw, what happens when you are left on your own, with your own thoughts? if you ever are alone with your thoughts....'",0.11,0.06,0.84,0.17,0.38,0.46
17,KevinHart4real,Sun Nov 29 17:47:45 +0000 2020,' lol',0.74,0.0,0.26,0.02,0.49,0.49
18,KevinHart4real,Sun Nov 29 17:46:19 +0000 2020,' the weirdo way you phrased your response made it sound like you disagreed with me ',0.12,0.24,0.65,0.08,0.44,0.48
19,KevinHart4real,Sun Nov 29 17:43:30 +0000 2020,'i dont understand how people hate on this new stand up has me dead. #zerofucksgiven',0.0,0.38,0.62,0.18,0.26,0.56
20,KevinHart4real,Sun Nov 29 17:43:30 +0000 2020,' this is why i love you dwanye ',0.34,0.0,0.66,0.05,0.45,0.5
21,KevinHart4real,Sun Nov 29 17:42:47 +0000 2020,' we want more!',0.35,0.0,0.65,0.04,0.31,0.64
22,KevinHart4real,Sun Nov 29 17:42:06 +0000 2020,""" i thought that this was the kevin everyone wanted when he was cool happy kev, you hoes showed no loyalty, so, seeing how fans can be fake af, i'm enjoying the new kev""",0.21,0.13,0.65,0.03,0.9,0.08
23,KevinHart4real,Sun Nov 29 17:41:57 +0000 2020,"' it made my not day, not month, it made my year (shitty 2020),best regards from croatia!'",0.0,0.2,0.8,0.03,0.6,0.37
24,KevinHart4real,Sun Nov 29 17:40:52 +0000 2020,' no that would be dave chappelle',0.0,0.27,0.73,0.04,0.37,0.59
25,KevinHart4real,Sun Nov 29 17:40:48 +0000 2020,' is one of the funniest guys on planet!! #nofuksgiven #kevinhart',0.29,0.0,0.7,0.04,0.35,0.61
26,KevinHart4real,Sun Nov 29 17:39:46 +0000 2020,' ur not funny',0.0,0.45,0.56,0.07,0.35,0.58
27,KevinHart4real,Sun Nov 29 17:39:21 +0000 2020,""" i have raccoons in my home and paralyzed the muscles in my body. it might sound like something far fetch but believe the situation, it's true. check out my gofundme page.""",0.15,0.0,0.85,0.03,0.42,0.55
28,KevinHart4real,Sun Nov 29 17:35:09 +0000 2020,'i need for and to remake this please ',0.25,0.0,0.75,0.04,0.27,0.69
29,KevinHart4real,Sun Nov 29 17:34:41 +0000 2020,'experience rickey dillian movement to a great adventure ',0.48,0.0,0.52,0.04,0.31,0.65
30,KevinHart4real,Sun Nov 29 17:34:28 +0000 2020,' if its not funny its just not funny. being black has nothing to do w/it. it was corny.',0.0,0.22,0.78,0.03,0.41,0.56
31,KevinHart4real,Sun Nov 29 17:32:50 +0000 2020,' hes the best isnt he!? ',0.43,0.0,0.57,0.04,0.31,0.65
32,KevinHart4real,Sun Nov 29 17:31:15 +0000 2020,' sorry it was corny &amp; i didnt laugh a single time. ive liked other works of yours but this should be called zero jokes given #comedy',0.23,0.1,0.67,0.04,0.36,0.6
