ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,SamuelLJackson,Sun Nov 29 15:54:40 +0000 2020,"""i'm calling it right now.\n\nwhen grogu reaches out on tython...\n\na one handed, slightly burnt is going to show up.\n\ntime to bring back the baddest motherfucker in star wars.\n\nwho doesn't want to see mace and ahsoka () slangin sabers?\n\n#maceandgrogu """,0.03,0.14,0.84,0.05,0.33,0.62
2,SamuelLJackson,Sun Nov 29 15:14:14 +0000 2020,"'if morgan freeman, james earl jones, and samuel l jackson could narrate my life for a week that would just make my life complete! '",0.21,0.0,0.79,0.02,0.45,0.53
3,SamuelLJackson,Sun Nov 29 15:08:48 +0000 2020,' hes a racist.',0.0,0.57,0.43,0.59,0.06,0.35
4,SamuelLJackson,Sun Nov 29 15:04:01 +0000 2020,' such a great movie... greatest performance... hell yeah i said it! ',0.44,0.19,0.37,0.03,0.59,0.38
5,SamuelLJackson,Sun Nov 29 15:03:43 +0000 2020,"' great movie... greatest character... yeah, thats right, i said it motherfucker! '",0.44,0.19,0.37,0.03,0.37,0.6
6,SamuelLJackson,Sun Nov 29 14:50:05 +0000 2020,"""there are millions of people across the nation and the globe who have given so much of themselves as a family #caregiver to a loved one. is one of them. here is his story, and what he is doing to help end alzheimer's for others. #nfcmonth""",0.13,0.0,0.87,0.11,0.3,0.59
7,SamuelLJackson,Sun Nov 29 14:43:32 +0000 2020,' see #pulpfiction reunion between #samuelljackson and #johntravolta with a little #christmas surprise at the end for #capi',0.1,0.0,0.9,0.03,0.32,0.65
8,SamuelLJackson,Sun Nov 29 14:29:22 +0000 2020,' see #pulpfiction reunion between #samuelljackson and #johntravolta with a little #christmas surprise at the end for #capi',0.1,0.0,0.9,0.03,0.32,0.65
9,SamuelLJackson,Sun Nov 29 14:28:11 +0000 2020,""" it's possible that master windu from prequel star wars trilogy are alive and save #thechild or #grogu from jedi temple.""",0.21,0.13,0.66,0.05,0.29,0.66
10,SamuelLJackson,Sun Nov 29 14:22:29 +0000 2020,' the best actor that had appeared in a quentin tarantino movie(s) the final #leonardodicaprio #christophwaltz #bradpitt #s',0.2,0.0,0.8,0.04,0.31,0.65
11,SamuelLJackson,Sun Nov 29 14:18:27 +0000 2020,' see #pulpfiction reunion between #samuelljackson and #johntravolta with a little #christmas surprise at the end for #capi',0.1,0.0,0.9,0.03,0.32,0.65
12,SamuelLJackson,Sun Nov 29 14:17:14 +0000 2020,' the best actor that had appeared in a quentin tarantino movie(s) the final #leonardodicaprio #christophwaltz #bradpitt #s',0.2,0.0,0.8,0.04,0.31,0.65
13,SamuelLJackson,Sun Nov 29 14:16:18 +0000 2020,'see #pulpfiction reunion between #samuelljackson and #johntravolta with a little #christmas surprise at the end for #capitalone. ',0.1,0.0,0.9,0.03,0.32,0.65
14,SamuelLJackson,Sun Nov 29 14:10:15 +0000 2020,' #nowwatching the long kiss goodnight #geenadavis #samuelljackson - this will forever be one of my favorite movies!! ',0.27,0.0,0.73,0.03,0.38,0.59
15,SamuelLJackson,Sun Nov 29 14:03:25 +0000 2020,' just a simple sketch of by my son dhruv. he is big fan of yours... he would love to know what you think of it.. ',0.21,0.0,0.79,0.04,0.45,0.51
