ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,channingtatum,Sat Nov 28 14:23:09 +0000 2020,' compassion. smiling with you. ',0.6,0.0,0.4,0.04,0.4,0.55
2,channingtatum,Sat Nov 28 14:16:04 +0000 2020,' there is nothing and i mean nothing as good as finishing the hardest job of my life. and then shaving my head and lettin',0.0,0.09,0.91,0.03,0.41,0.56
3,channingtatum,Sat Nov 28 13:58:23 +0000 2020,' yes all naturally now ',0.35,0.0,0.65,0.04,0.4,0.55
4,channingtatum,Sat Nov 28 13:42:24 +0000 2020,' te aclaro que el mo slo azul marino o algo asi y celeste tiene y es por l galn hollywodense no por ningun poltico de n.i. o similares ',0.09,0.07,0.84,0.04,0.34,0.62
5,channingtatum,Sat Nov 28 13:36:25 +0000 2020,' hq adam driver and #channingtatum attend the logan lucky euro premiere 08.21.17 ',0.18,0.0,0.82,0.04,0.31,0.65
6,channingtatum,Sat Nov 28 11:59:55 +0000 2020,' hq adam driver and #channingtatum attend the logan lucky euro premiere 08.21.17 ',0.18,0.0,0.82,0.04,0.31,0.65
7,channingtatum,Sat Nov 28 11:48:11 +0000 2020,""" distance isn't here now. as i never felt it, i have faith in us, truly speak truth i am. """,0.31,0.0,0.69,0.08,0.35,0.58
8,channingtatum,Sat Nov 28 10:55:12 +0000 2020,'#escapeintomusic #music feeds my soul - did i mention? #kittykat aka kit the kat #juicy #kissesfrombae #latenighttwitter got me fucked up smh &amp; people wonder why i choose my sexual partners carefully ',0.04,0.17,0.79,0.04,0.55,0.41
9,channingtatum,Sat Nov 28 10:38:49 +0000 2020,' no offense to the male species or guys named chris but this the kind of dumbass shit that gets me to block people - my ex always wondered why i dont block unless its necessary ',0.09,0.28,0.63,0.04,0.82,0.14
10,channingtatum,Sat Nov 28 10:36:56 +0000 2020,' rt se vuoi ricevere le domande in dm \n\n family &amp; friends \n \n \n &amp;',0.16,0.0,0.84,0.04,0.35,0.61
11,channingtatum,Sat Nov 28 10:26:49 +0000 2020,' i lost a game of jenga to jessica cornish. \n\nthe loser (me) had to post a picture the other person (jessica cornish) pic',0.0,0.21,0.79,0.04,0.34,0.62
12,channingtatum,Sat Nov 28 10:26:35 +0000 2020,' im making these swinging chairs for my dirt track. they are so simple its a forehead smack that i havent thought of s',0.0,0.09,0.91,0.04,0.37,0.59
13,channingtatum,Sat Nov 28 10:26:20 +0000 2020,' plottin and planning. thinking i should start to create again. ',0.16,0.0,0.84,0.05,0.34,0.61
14,channingtatum,Sat Nov 28 10:26:01 +0000 2020,""" whats everyone else doing on hump day? my creative partner / life partner is on his honeymoon. and i'm literally pacing""",0.12,0.0,0.88,0.04,0.41,0.55
15,channingtatum,Sat Nov 28 10:25:39 +0000 2020,' yo anybody know of this shit and can explain it to me! cause wtf! ',0.0,0.38,0.62,0.04,0.95,0.01
