ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,prattprattpratt,Sat Nov 28 14:39:05 +0000 2020,' id stop watching over my dead body!',0.0,0.53,0.47,0.03,0.46,0.51
2,prattprattpratt,Sat Nov 28 14:32:38 +0000 2020,"' to me, that man looks to be praying over his food, grateful he has any at all. maybe that is what the artist was trying to portray?'",0.17,0.0,0.82,0.06,0.43,0.51
3,prattprattpratt,Sat Nov 28 13:45:06 +0000 2020,' good morning family! \n',0.44,0.0,0.56,0.05,0.18,0.78
4,prattprattpratt,Sat Nov 28 13:24:11 +0000 2020,' good morning mal! \n824\n14\n5 ',0.39,0.0,0.61,0.05,0.14,0.81
5,prattprattpratt,Sat Nov 28 13:45:06 +0000 2020,' good morning family! \n',0.44,0.0,0.56,0.05,0.18,0.78
6,prattprattpratt,Sat Nov 28 13:23:34 +0000 2020,' good morning sam! \na bit nipply out \n823\n13 ',0.26,0.0,0.74,0.04,0.24,0.72
7,prattprattpratt,Sat Nov 28 13:08:31 +0000 2020,' agreed!',0.7,0.0,0.29,0.04,0.33,0.63
8,prattprattpratt,Sat Nov 28 13:03:02 +0000 2020,'just finish watching onwards roller coster of emotions! the best! ',0.32,0.0,0.68,0.03,0.33,0.64
9,prattprattpratt,Sat Nov 28 13:03:24 +0000 2020,"""sorry it's onward with no s """,0.0,0.41,0.59,0.02,0.4,0.58
10,prattprattpratt,Sat Nov 28 12:07:56 +0000 2020,' yes!\ni was really excited to see ashoka too \n7[]7\nmirror \n5:5\n77 ',0.21,0.0,0.79,0.04,0.33,0.62
11,prattprattpratt,Sat Nov 28 11:51:53 +0000 2020,' good morning mal and family!\n651\n0010110 ',0.35,0.0,0.65,0.05,0.15,0.81
12,prattprattpratt,Sat Nov 28 11:27:10 +0000 2020,"' already watched the mandalorian, was exciting to see ahsoka tano live action even if i dont like the actress, shes one of my favorites'",0.2,0.07,0.73,0.03,0.41,0.56
13,prattprattpratt,Sat Nov 28 11:23:46 +0000 2020,' happy thanksgiving everyone ',0.48,0.0,0.52,0.03,0.43,0.54
14,prattprattpratt,Sat Nov 28 10:03:53 +0000 2020,""" that's not what i see. for one he looks sad. hopeless. suffering. a desperate clasp of hands that arent begging but maybe eyes on the brink of tears. i wouldn't put any of those words behind it. tired and worn out from hard day. loss. i bet his feet hurt...\n\nahhh but that is art.""",0.0,0.32,0.68,0.04,0.4,0.56
