ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,CBCNews,Sat Nov 28 16:07:17 +0000 2020,"'killers 5-4 win-4a the us constitution affirms it by collective self ordination for common defence, general welfare, securing liberty. were wild personal freedom ordained, conscripts could run away without being shot. '",0.27,0.1,0.63,0.05,0.32,0.63
2,CBCNews,Sat Nov 28 16:07:04 +0000 2020,""" vaccine concern!\n1. no long term evidence that only two vaccinations is enough for mrna covid vaccine! yikes!\n2. covid mrna vaccines are 'new' vaccine technology. will they provide persistent active immunity? canada ordered alot ... what if 4 or 6 vaccinations are needed!""",0.08,0.05,0.87,0.05,0.28,0.67
3,CBCNews,Sat Nov 28 16:06:57 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
4,CBCNews,Sat Nov 28 16:06:48 +0000 2020,' well. im pro-defund the police. so. no? this is usually used when people are pro-police.',0.12,0.0,0.88,0.06,0.36,0.58
5,CBCNews,Sat Nov 28 16:06:27 +0000 2020,' im hopeful. ',0.52,0.0,0.48,0.04,0.37,0.59
6,CBCNews,Sat Nov 28 16:06:26 +0000 2020,' dont tell me whose food i want and whose not u are nobody to poke into my business.\nget lost',0.06,0.11,0.83,0.04,0.41,0.55
7,CBCNews,Sat Nov 28 16:05:56 +0000 2020,' its called spending time with family. why is everyone so against being with your immediate family. also if alone do a discord or facetime celebration. fuck sake.',0.0,0.25,0.75,0.06,0.81,0.13
8,CBCNews,Sat Nov 28 16:05:20 +0000 2020,"' nah, im not an idiot. i know masks dont hinder breathing. plus only need to wear it 20-30 mins a day at most if i go into a store. but, good try at a burn. i rate it 2.5 flames out of 10.'",0.12,0.03,0.86,0.04,0.34,0.62
9,CBCNews,Sat Nov 28 16:05:19 +0000 2020,' when we will be reunited. extended family and dating couples can reunite in 14 days. no life for married couples. my children are still waiting for their mother. ',0.0,0.07,0.93,0.03,0.35,0.62
10,CBCNews,Sat Nov 28 16:04:54 +0000 2020,"' as such, if i was in #toronto or #peel instead of #thunderbay, you could imagine what decals i would have placed on my vehicle - the dreaded grey ""lockdown"" decals.\n\ni also recommend that ontario ministry of health post a colour-coded visual map, not just text '",0.07,0.07,0.86,0.03,0.44,0.53
11,CBCNews,Sat Nov 28 16:04:49 +0000 2020,' peaceful protesting farmers from panjab met by sheer brutality of &amp; #haryanapolice ! \n\ndeath of democracy ! ',0.12,0.28,0.6,0.04,0.34,0.61
12,CBCNews,Sat Nov 28 16:04:48 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
13,CBCNews,Sat Nov 28 16:04:35 +0000 2020,""" never heard govt officials solicit complaints about by-law offenses before. so maybe it is time to be dramatic. before it's too late.""",0.0,0.2,0.8,0.04,0.46,0.51
14,CBCNews,Sat Nov 28 16:04:27 +0000 2020,' at 11 iran hates the us unless pallets of cash gets in...then everything is fine #6 story is liar with no date on vaccine rollout. nothing on time travel teleconference with ',0.05,0.21,0.74,0.04,0.39,0.56
15,CBCNews,Sat Nov 28 16:04:06 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
16,CBCNews,Sat Nov 28 16:03:47 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
17,CBCNews,Sat Nov 28 16:03:21 +0000 2020,' mmmm this doesnt sound good.....',0.0,0.33,0.68,0.04,0.33,0.63
18,CBCNews,Sat Nov 28 16:02:38 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
19,CBCNews,Sat Nov 28 16:00:56 +0000 2020,' that kids parents need to take him outside for some fresh air. they obviously watch to much cbc. let the kid watch super man or something.',0.2,0.0,0.8,0.03,0.37,0.6
20,CBCNews,Sat Nov 28 16:00:27 +0000 2020,"' why is yvr behind toronto in testing incoming passengers? since we cant count on the airline industry to do the right thing in protecting populations it is going into and bringing infected people to, its time to shut it down. travel is a luxury not a necessity.'",0.0,0.06,0.94,0.06,0.33,0.62
