ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,Independent,Sat Nov 28 17:37:03 +0000 2020,'celebrate small business saturday by shopping at independent retailers (elizabeth yuko/lifehacker: tech) ',0.24,0.0,0.76,0.04,0.36,0.6
2,Independent,Sat Nov 28 17:37:03 +0000 2020,'its out of order . since when you employ terrorist sympathisers in your office? \n\n#mohsenfakhrizadeh ',0.0,0.24,0.76,0.05,0.4,0.55
3,Independent,Sat Nov 28 17:36:59 +0000 2020,' small and independent businesses make up more than 50% of items sold in amazons store. were proud to support them today and e',0.21,0.04,0.75,0.08,0.28,0.64
4,Independent,Sat Nov 28 17:36:58 +0000 2020,"""liberal democracy: everyone is an independent free individual, so we can only make vast sweeping laws with convoluted enforcement\n\nsoviet democracy: ok we decided its illegal for jim bob to have a gun, he's a weird dude and it doesn't feel safe""",0.11,0.2,0.69,0.04,0.36,0.6
5,Independent,Sat Nov 28 17:36:57 +0000 2020,'shall we just file this under no one cares as much as you think they do? ',0.0,0.24,0.76,0.04,0.43,0.53
6,Independent,Sat Nov 28 17:36:57 +0000 2020,' im very much independent but i love being spoiled ',0.37,0.0,0.63,0.03,0.39,0.58
7,Independent,Sat Nov 28 17:36:56 +0000 2020,"' ...and what ""damage"" has he done?\n\nuntil the onset of the worldwide chinese flu pandemic, the u.s. had our best economy ever, became energy independent and reduced carbon emissions under trump.'",0.16,0.15,0.69,0.04,0.29,0.67
8,Independent,Sat Nov 28 17:36:56 +0000 2020,"' granted, the work world is not made to suit everyone. why does work exist? to fill a need, to create a product, to serve the employer. as a writer, i had to compromise until i could become independent.'",0.1,0.0,0.9,0.04,0.4,0.56
9,Independent,Sat Nov 28 17:36:56 +0000 2020,"'this is why scotland needs to be independent. we can ensure our kids, our old, our sick are looked after. a chance to become a good country that looks after each other unlike the who are only interested in themselves. '",0.21,0.07,0.73,0.06,0.33,0.61
10,Independent,Sat Nov 28 17:36:56 +0000 2020,""" lmao. really and truly no good deed goes unpunished. you'll start asking yourself who sent you.\n\nis it completely unfathomable""",0.31,0.09,0.6,0.05,0.4,0.55
11,Independent,Sat Nov 28 17:36:54 +0000 2020,""" hate to break it to you but no matter which party nominates them, judges serve an independent role and they swear their oath to the constitution, not to an individual. cases aren't decided before they are heard and when they are heard, the burden of proof is on the accuser.""",0.06,0.15,0.79,0.11,0.28,0.61
12,Independent,Sat Nov 28 17:36:51 +0000 2020,' you can still be a rich women and independent with a family ladies ',0.2,0.0,0.8,0.05,0.42,0.53
13,Independent,Sat Nov 28 17:36:51 +0000 2020,""" it's not a grey area. it's an enthusiastic, freely given 'yes', and nothing less.\n\nday 3, action 3: understand consent""",0.4,0.04,0.56,0.04,0.33,0.63
14,Independent,Sat Nov 28 17:36:50 +0000 2020,""" want more independent wrestling action? \n\nthe best of in , vol. 2 headlines this week's batch of ne""",0.24,0.0,0.76,0.04,0.32,0.64
15,Independent,Sat Nov 28 17:36:50 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
16,Independent,Sat Nov 28 17:36:48 +0000 2020,"' i did not speak publicly about this case while it was ongoing, but james goddard has now been convicted of threatening a'",0.0,0.17,0.83,0.04,0.35,0.61
17,Independent,Sat Nov 28 17:36:43 +0000 2020,' im proud to see mamamoo winning awards that are independent from vote. they won the best artist award because they are r',0.55,0.0,0.45,0.06,0.3,0.63
18,Independent,Sat Nov 28 17:36:41 +0000 2020,'does george clooney cut it as a director? - short answer: yes he does #georgeclooney',0.15,0.12,0.73,0.03,0.47,0.5
19,Independent,Sat Nov 28 17:36:41 +0000 2020,""" if someone supported katy during her depression is her, she don't need anyone or anything. she is a strong independent woman. katy treat her depression by herself and she doesnt owe nothing to anyone.""",0.18,0.16,0.66,0.03,0.61,0.36
20,Independent,Sat Nov 28 17:36:39 +0000 2020,' an independent scotland is our best chance of that. u.k. is wedded to the discredited political dogma of austerity',0.24,0.11,0.65,0.05,0.33,0.62
21,Independent,Sat Nov 28 17:36:39 +0000 2020,' bu gn #azrbaycan mstqillik urunda mbariz tarixind n mhm rol oynayan gnlrdn biri olan milli dirli gn',0.12,0.0,0.89,0.04,0.33,0.63
22,Independent,Sat Nov 28 17:36:38 +0000 2020,"' demand -pcr test of 100 healthy(asymptomatic) people for ebola virus, with same cycle use for covid diagnose.'",0.0,0.08,0.92,0.02,0.37,0.61
23,Independent,Sat Nov 28 17:36:37 +0000 2020,""" 2020: people still hate successful independent hard working women who doesn't need god fathers to do her work\nrespect a self""",0.14,0.25,0.61,0.12,0.61,0.27
24,Independent,Sat Nov 28 17:36:35 +0000 2020,' | \n\n an independent portrayal of an oc for the star wars verse. unofficial leader of a band o',0.0,0.16,0.84,0.04,0.31,0.66
25,Independent,Sat Nov 28 17:36:33 +0000 2020,' there is this development of making western cape an independent state and anc fools will accept it cos they did so with orania.hopefully only eff will stop this. maybe they made ramaphosa have already promised them.',0.12,0.12,0.76,0.05,0.31,0.64
26,Independent,Sat Nov 28 17:36:33 +0000 2020,"' could it be because of the covid-related loss of smell?""\n\nnegative reviews of scented candles surge after increase in cov'",0.1,0.1,0.8,0.04,0.33,0.64
27,Independent,Sat Nov 28 17:36:33 +0000 2020,"'there is no independent monitoring of patients, the most vulnerable people'",0.0,0.33,0.67,0.07,0.3,0.64
28,Independent,Sat Nov 28 17:36:29 +0000 2020,' help make students independent thinkers.',0.35,0.0,0.65,0.04,0.33,0.63
29,Independent,Sat Nov 28 17:36:29 +0000 2020,' on #smallbusinesssaturday a reminder that independent &amp; local media are also small businesses. our friends at ',0.15,0.0,0.85,0.05,0.35,0.6
30,Independent,Sat Nov 28 17:36:27 +0000 2020,'take all your cash with you down to hell! ',0.0,0.35,0.65,0.08,0.79,0.13
31,Independent,Sat Nov 28 17:36:25 +0000 2020,"' doing some holiday shopping this weekend? buy books! and for loved ones looking to mobilize for the task of our lives, may'",0.25,0.0,0.75,0.03,0.28,0.69
32,Independent,Sat Nov 28 17:36:25 +0000 2020,'this is awesome and an exciting way to platform independent short films and help artists get paid! win win!! ',0.55,0.0,0.45,0.04,0.3,0.66
33,Independent,Sat Nov 28 17:36:24 +0000 2020,""" a bit of a gross report: half of the dutch don't wash their hands after a toilet break. potent""",0.0,0.14,0.86,0.04,0.32,0.64
34,Independent,Sat Nov 28 17:36:24 +0000 2020,' speaking about safety &amp; efficiency. we know more about cannabis than 95% of other medicines. cannabis is custom made to treat als (carter 2014). \n\ndr. carter is an expert in treating neuromuscular disorders and has seen many als patients benefit from the use of cannabis.',0.21,0.0,0.79,0.03,0.35,0.62
35,Independent,Sat Nov 28 17:36:24 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
36,Independent,Sat Nov 28 17:36:23 +0000 2020,""" there were very few independent and strong thinkers in those days. tony was exceptional. there's so much noise now that st""",0.14,0.0,0.86,0.04,0.28,0.68
37,Independent,Sat Nov 28 17:36:23 +0000 2020,""" want more independent wrestling action? \n\nthe best of in , vol. 2 headlines this week's batch of ne""",0.24,0.0,0.76,0.04,0.32,0.64
38,Independent,Sat Nov 28 17:36:23 +0000 2020,' police just violently took down an independent journalist filming the event \n\nlook at the state of this ',0.0,0.17,0.83,0.05,0.28,0.67
39,Independent,Sat Nov 28 17:36:23 +0000 2020,' want to express my thanks to the few journalists in indie media who have the balls to call it like it is and rise above t',0.22,0.0,0.78,0.05,0.41,0.54
40,Independent,Sat Nov 28 17:36:22 +0000 2020,' i love being an independent woman but i dont care what anybody says. if hes not spoiling you sis he needs to get tf out.',0.09,0.12,0.8,0.04,0.42,0.55
41,Independent,Sat Nov 28 17:36:21 +0000 2020,' top cybersecurity official fired by trump says allegations of foreign interference in 2020 election farcical | the indep',0.08,0.16,0.76,0.04,0.34,0.62
42,Independent,Sat Nov 28 17:36:21 +0000 2020,' you do realize that this is not new news? nist are an independent contractor that constantly fixes government cyber security issues. a lot of things have changed since 2010. they bring things to the governments attention so that it can be fixed.',0.05,0.0,0.95,0.05,0.36,0.59
43,Independent,Sat Nov 28 17:36:20 +0000 2020,' bitter bastards',0.0,0.87,0.13,0.04,0.35,0.61
44,Independent,Sat Nov 28 17:36:19 +0000 2020,' his arguments and debate may have been relevant in the early brexit days.. they may become relevant in 2/5/10 years. but 5 days a week of the same thing day after day is not a good show.',0.0,0.12,0.88,0.05,0.26,0.68
45,Independent,Sat Nov 28 17:36:15 +0000 2020,'its nothing wrong being independent and can hold your own but if you laying up with a nigga and cant depend on him thats a problem ',0.06,0.12,0.82,0.17,0.67,0.17
46,Independent,Sat Nov 28 17:36:15 +0000 2020,"' liberal women talk about being independent and a man cant tell me what to do, until a white elf looking mofo aka'",0.0,0.13,0.87,0.19,0.57,0.24
47,Independent,Sat Nov 28 17:36:15 +0000 2020,"' i did not speak publicly about this case while it was ongoing, but james goddard has now been convicted of threatening a'",0.0,0.17,0.83,0.04,0.35,0.61
48,Independent,Sat Nov 28 17:36:14 +0000 2020,' looks like the snp camp are fighting each other over whether a man can become a woman while also fighting over whether scot',0.09,0.17,0.74,0.05,0.35,0.6
49,Independent,Sat Nov 28 17:36:14 +0000 2020,' looks like the snp camp are fighting each other over whether a man can become a woman while also fighting over whether scot',0.09,0.17,0.74,0.05,0.35,0.6
50,Independent,Sat Nov 28 17:36:13 +0000 2020,""" drop one link to your music \n# this post &amp; i'll retweet your link \n\n #support #independent \n """,0.12,0.09,0.79,0.1,0.33,0.58
51,Independent,Sat Nov 28 17:36:13 +0000 2020,"' i really should start ignoring these nonsense posts, 38 failed lawsuits due to no evidence of any voter fraud.\n\nbiden won by large numbers winning all democratic votes and a majority of independent votes as well. #bidenpresident in just 53 days.'",0.17,0.23,0.6,0.05,0.4,0.56
52,Independent,Sat Nov 28 17:36:12 +0000 2020,'#diaperdon \n\n trump declares twitter national security threat after #diaperdon trends following meltdown at miniature table ',0.12,0.16,0.72,0.04,0.39,0.57
53,Independent,Sat Nov 28 17:36:05 +0000 2020,"' with our big economy, highly educated population and cutting-edge innovation, scotland has got what it takes to thrive'",0.13,0.0,0.87,0.03,0.37,0.6
54,Independent,Sat Nov 28 17:36:04 +0000 2020,"' status symbols in old mindset\n~ luxury car\n~ number of houses\n~ degree from branded university\n~ physical assets (cash,'",0.16,0.0,0.84,0.04,0.32,0.64
55,Independent,Sat Nov 28 17:35:59 +0000 2020,"' if youre surprised that 73.9 million americans (22.3%) voted for #trump on nov 3, consider the fact that 7% of america'",0.08,0.0,0.92,0.07,0.33,0.6
56,Independent,Sat Nov 28 17:35:57 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
57,Independent,Sat Nov 28 17:35:57 +0000 2020,""".\nplease demonstrate your confidence by being the 1st to take this: on live tv with an independent overseer to ensure there's no 'obama trusts the water' scam. \nps 'in the butt' would make for entertainment value\npps whatever, you can stick your vaccine up your arse """,0.15,0.15,0.7,0.07,0.36,0.57
58,Independent,Sat Nov 28 17:35:56 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
59,Independent,Sat Nov 28 17:35:56 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
60,Independent,Sat Nov 28 17:35:54 +0000 2020,"'instead of harvesting votes, what if we just paid everyone $100 to show up with an valid id and vote.\n$25 bonus if you want to identify yourself as a democrat, republican, or independent.\nmaybe more people would take time to vote, and we could eliminate most of the cheating!!!'",0.1,0.07,0.82,0.04,0.39,0.57
61,Independent,Sat Nov 28 17:35:52 +0000 2020,' scotland has what it takes to be an independent country - playing our full part in the world as a force for pr',0.07,0.0,0.93,0.05,0.31,0.63
62,Independent,Sat Nov 28 17:35:51 +0000 2020,' official independent albums chart: () dethrone to claim number 1 with be ',0.09,0.0,0.91,0.04,0.35,0.61
63,Independent,Sat Nov 28 17:35:51 +0000 2020,' you are doing a good job indeed but the group u belong will bring you dwn . if hard be independent and work for your ppl not following tanga tanga handout all time',0.06,0.04,0.9,0.05,0.46,0.49
64,Independent,Sat Nov 28 17:35:49 +0000 2020,"' ""we want to help you find your perfect books for years to come, so #shoplocal!""\n\nbe sure to support and oth'",0.45,0.0,0.55,0.1,0.35,0.55
65,Independent,Sat Nov 28 17:35:48 +0000 2020,"'2/n\nconstitution of india\n....[central, state and local], division of powers, bicameralism and an independent judiciary) and unitary features such as a single constitution, single citizenship, an integrated judiciary, a flexible constitution,...'",0.06,0.0,0.94,0.05,0.27,0.69
66,Independent,Sat Nov 28 17:35:48 +0000 2020,"' after grahams anti-democratic suggestions about ballots in georgia, its clear he shouldnt be chairing the senate committee'",0.13,0.0,0.87,0.04,0.34,0.63
67,Independent,Sat Nov 28 17:35:47 +0000 2020,' time to help fund the programme \nto save our criticallly endangered scottish wildcats. ht',0.31,0.0,0.69,0.04,0.33,0.63
68,Independent,Sat Nov 28 17:35:47 +0000 2020,' how much is nosediving with the uk going to cost? another 20 years of tory austerity with the rich lining their pockets. ill take my chances with an independent scotland!! ',0.16,0.07,0.77,0.04,0.37,0.59
69,Independent,Sat Nov 28 17:35:45 +0000 2020,"' sagittarius rises in love with someone who is patient, flexible, interesting and independent. these are the qualities sagit'",0.35,0.0,0.65,0.05,0.36,0.59
70,Independent,Sat Nov 28 17:35:45 +0000 2020,"' i did not speak publicly about this case while it was ongoing, but james goddard has now been convicted of threatening a'",0.0,0.17,0.83,0.04,0.35,0.61
