ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,skysportsnews,Fri Nov 27 09:33:38 +0000 2020,' sad manu have no fans hahahahah',0.0,0.52,0.48,0.04,0.35,0.61
2,skysportsnews,Fri Nov 27 09:33:25 +0000 2020,"' ""i feel sorry that i didn\'t spend more time with him."" \n\njose mourinho pays tribute to his friend, the late diego marad'",0.12,0.05,0.82,0.04,0.38,0.58
3,skysportsnews,Fri Nov 27 09:33:12 +0000 2020,'ronaldo won messi fans were making fun of us at the beginning because they were leadingwatch them say this is nothing now ',0.25,0.0,0.75,0.07,0.32,0.61
4,skysportsnews,Fri Nov 27 09:33:03 +0000 2020,' messi fanboys so desperate and we still won',0.27,0.22,0.51,0.04,0.34,0.62
5,skysportsnews,Fri Nov 27 09:33:01 +0000 2020,"' ha ha! poor old peter, over 100 caps as england goalie and the only thing hes remembered for is letting one in!'",0.09,0.14,0.78,0.04,0.32,0.64
6,skysportsnews,Fri Nov 27 09:32:31 +0000 2020,'the gammon of god ',0.34,0.0,0.66,0.04,0.3,0.66
7,skysportsnews,Fri Nov 27 09:32:25 +0000 2020,' messi pr. they work so hard man.',0.0,0.21,0.79,0.03,0.56,0.41
8,skysportsnews,Fri Nov 27 09:32:13 +0000 2020,' cristiano ronaldo wins sky sports poll asking who is the greatest footballer of all time?\n\ncristiano ronaldo beats lione',0.32,0.0,0.68,0.04,0.38,0.57
9,skysportsnews,Fri Nov 27 09:32:02 +0000 2020,' the real won the poll ',0.38,0.0,0.62,0.03,0.41,0.56
10,skysportsnews,Fri Nov 27 09:31:08 +0000 2020,' says a lot from someone whos club hasnt won a trophy in a decade or so',0.0,0.16,0.84,0.04,0.35,0.61
11,skysportsnews,Fri Nov 27 09:30:51 +0000 2020,"' tottenham hotspur head coach jose mourinho has paid tribute to his friend, the late diego maradona, and admitted he would always call him after big defeats as a manager:\n\n""i feel sorry that i didn\'t spend more time with him.""\n\n#thfc #coys #totlud #uel\n'",0.1,0.08,0.83,0.03,0.41,0.56
12,skysportsnews,Fri Nov 27 09:30:48 +0000 2020,'so messi bottled another lead lmao ',0.39,0.0,0.61,0.08,0.32,0.6
13,skysportsnews,Fri Nov 27 09:30:47 +0000 2020,' c. ronaldo is the original goat ',0.25,0.0,0.75,0.04,0.32,0.64
14,skysportsnews,Fri Nov 27 09:30:45 +0000 2020,' the sad thing is shilton had an incredible career but he will be forever defined by being a whiny bitch about this dec',0.0,0.25,0.75,0.02,0.97,0.01
15,skysportsnews,Fri Nov 27 09:30:42 +0000 2020,' and everyone is laughing about you knowledge about football.',0.26,0.0,0.74,0.05,0.43,0.52
16,skysportsnews,Fri Nov 27 09:30:15 +0000 2020,""" still couldn't win.""",0.0,0.51,0.49,0.04,0.35,0.61
17,skysportsnews,Fri Nov 27 09:30:00 +0000 2020,' messi bottled this poll like he bottled every lead he had over ronaldo in 2012. ',0.14,0.0,0.86,0.05,0.34,0.61
18,skysportsnews,Fri Nov 27 09:29:45 +0000 2020,' well what can i say? the people have spoken - cr7 = goat!',0.15,0.0,0.84,0.06,0.32,0.62
19,skysportsnews,Fri Nov 27 09:29:43 +0000 2020,"' ""i feel sorry that i didn\'t spend more time with him."" \n\njose mourinho pays tribute to his friend, the late diego marad'",0.12,0.05,0.82,0.04,0.38,0.58
20,skysportsnews,Fri Nov 27 09:29:12 +0000 2020,' an absolute honour to work on this. so much love and respect for from everyone involved. first viewing on ',0.39,0.0,0.61,0.03,0.37,0.6
21,skysportsnews,Fri Nov 27 09:29:12 +0000 2020,' looks good to me ',0.37,0.0,0.63,0.04,0.38,0.59
22,skysportsnews,Fri Nov 27 09:29:10 +0000 2020,' man city have had an unfair advantage throughout. nothing new playing in an empty stadium',0.1,0.32,0.59,0.04,0.34,0.62
23,skysportsnews,Fri Nov 27 09:28:57 +0000 2020,' rest well hero ',0.66,0.0,0.34,0.04,0.33,0.63
