ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,arianagrande,Sat Nov 28 23:53:00 +0000 2020,' look who i bumped into at rehearsal :) ',0.25,0.0,0.75,0.04,0.41,0.55
2,arianagrande,Sat Nov 28 23:52:58 +0000 2020,' lets get a set of nails together :d ',0.27,0.0,0.73,0.04,0.35,0.61
3,arianagrande,Sat Nov 28 23:52:44 +0000 2020,"' congratulations 63rd #grammys best pop duo/group performance nominees: , , bad bunny (), '",0.34,0.15,0.51,0.04,0.31,0.65
4,arianagrande,Sat Nov 28 23:52:43 +0000 2020,' ur doing great sweetie ',0.65,0.0,0.35,0.06,0.3,0.64
5,arianagrande,Sat Nov 28 23:52:38 +0000 2020,""" here's a timeline of #arianagrande and #justinbieber's friendship. \n\n""",0.24,0.0,0.76,0.07,0.28,0.65
6,arianagrande,Sat Nov 28 23:52:35 +0000 2020,""" you're totally cute!! now when i listen to this song i'm always going to remember your performance!! """,0.2,0.0,0.8,0.08,0.39,0.53
7,arianagrande,Sat Nov 28 23:52:34 +0000 2020,' its the fact that you have so many bts tweets calling them untalented like sis you tweeting more bts then charli.. fan behavior ',0.17,0.0,0.83,0.07,0.42,0.51
8,arianagrande,Sat Nov 28 23:52:34 +0000 2020,':wish could look into your eyes with one last breath \n',0.21,0.0,0.79,0.05,0.35,0.6
9,arianagrande,Sat Nov 28 23:52:32 +0000 2020,""" here's a timeline of #arianagrande and #justinbieber's friendship. \n\n""",0.24,0.0,0.76,0.07,0.28,0.65
10,arianagrande,Sat Nov 28 23:52:29 +0000 2020,' tapping into yourself is not supposed to be all bad lol hey 7064065980 hit me up girl u fine 2 me',0.17,0.13,0.7,0.03,0.51,0.46
11,arianagrande,Sat Nov 28 23:52:26 +0000 2020,"' \njust posting the rest,\nthen that song which is speaking to me iam sorry i had a few moments of weak'",0.0,0.18,0.82,0.04,0.36,0.6
12,arianagrande,Sat Nov 28 23:52:20 +0000 2020,""" omg you're adorable """,0.44,0.0,0.56,0.09,0.35,0.57
13,arianagrande,Sat Nov 28 23:51:57 +0000 2020,' ghostin is sadder but i like better off more',0.44,0.14,0.43,0.06,0.34,0.59
14,arianagrande,Sat Nov 28 23:51:55 +0000 2020,' michael jackson will forever be more iconic than that 6 year old elevator music lookin ass',0.0,0.18,0.82,0.09,0.78,0.13
15,arianagrande,Sat Nov 28 23:51:51 +0000 2020,' i love the whole album so much',0.38,0.0,0.62,0.03,0.37,0.6
16,arianagrande,Sat Nov 28 23:51:35 +0000 2020,' 1 day before my bday yay ily',0.56,0.0,0.43,0.03,0.42,0.55
17,arianagrande,Sat Nov 28 23:51:31 +0000 2020,' no ',0.0,0.52,0.48,0.04,0.37,0.59
