ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,nickiminaj,Sat Nov 28 23:57:24 +0000 2020,'which ones your favorite? ',0.43,0.0,0.57,0.07,0.32,0.61
2,nickiminaj,Sat Nov 28 23:57:12 +0000 2020,' wait this is so cute ',0.39,0.0,0.61,0.05,0.34,0.6
3,nickiminaj,Sat Nov 28 23:56:54 +0000 2020,' i win change ur layout ',0.39,0.0,0.61,0.07,0.32,0.61
4,nickiminaj,Sat Nov 28 23:56:46 +0000 2020,'i try to give every #femalerapper a chance but once they cross that line with #nickiminaj its a no -\nreal example: i even gave cardib a chance but once she started to treat nicki bad &amp; ultimately tried threw the shoe at her .... i wanted to get on a overnight plane and hurt her! ',0.11,0.18,0.71,0.03,0.49,0.48
5,nickiminaj,Sat Nov 28 23:56:40 +0000 2020,'my heart!!! ',0.72,0.0,0.28,0.02,0.46,0.51
6,nickiminaj,Sat Nov 28 23:56:19 +0000 2020,' sis say sum for them to go and act like nothing happened. i beg',0.15,0.0,0.85,0.05,0.33,0.62
7,nickiminaj,Sat Nov 28 23:56:00 +0000 2020,' not colorism as well ... ',0.0,0.23,0.77,0.03,0.39,0.58
8,nickiminaj,Sat Nov 28 23:54:56 +0000 2020,' being unintentionally funny ',0.42,0.0,0.58,0.03,0.4,0.57
9,nickiminaj,Sat Nov 28 23:54:20 +0000 2020,' happy thanksgiving to my day 1s. love you ',0.5,0.0,0.5,0.05,0.45,0.5
10,nickiminaj,Sat Nov 28 23:54:16 +0000 2020,'i just wish shit couldve been different was i not attractive enough did i fall short of what she wanted in a man what didnt i do to let her know how i feel and that i love her why she chose him over me some ? a never get answered i wish u the best onika on god ',0.21,0.08,0.71,0.03,0.88,0.1
11,nickiminaj,Sat Nov 28 23:53:37 +0000 2020,' lol just heard it',0.41,0.0,0.59,0.02,0.43,0.55
12,nickiminaj,Sat Nov 28 23:52:34 +0000 2020,' oh wow.',0.66,0.0,0.34,0.05,0.26,0.69
13,nickiminaj,Sat Nov 28 23:52:33 +0000 2020,"'this one is for the boys with the boomin system. top down, ac with the cooler \n\n - super bass '",0.23,0.0,0.77,0.03,0.34,0.63
14,nickiminaj,Sat Nov 28 23:51:10 +0000 2020,' i feel like im the only person that isnt blocked by him ',0.26,0.0,0.74,0.04,0.41,0.55
15,nickiminaj,Sat Nov 28 23:50:34 +0000 2020,"' . s donations have contributed to 2 computer centers, a sewing center, and water wells in india. '",0.1,0.0,0.9,0.04,0.31,0.64
16,nickiminaj,Sat Nov 28 23:49:23 +0000 2020,' wtf',0.0,0.79,0.21,0.04,0.79,0.17
17,nickiminaj,Sat Nov 28 23:49:14 +0000 2020,' . has reached 20 billion total streams across all credits on spotify. shes the third most-streamed female artist',0.19,0.0,0.81,0.04,0.37,0.59
18,nickiminaj,Sat Nov 28 23:48:35 +0000 2020,' love nickis new album \n',0.46,0.0,0.54,0.04,0.24,0.72
19,nickiminaj,Sat Nov 28 23:48:35 +0000 2020,"' wow, its been 25 years since pink friday came out that movie has such a special place in my lungs, i remember last year when it came out, it was so inspiring! i still cant believe you were only 8 years old when you released this song \n#nickiminaj #barbz '",0.18,0.0,0.82,0.04,0.41,0.54
20,nickiminaj,Sat Nov 28 23:48:17 +0000 2020,' nicki why you playing with us you know we wanna see lil guy ',0.11,0.0,0.89,0.07,0.44,0.5
21,nickiminaj,Sat Nov 28 23:48:00 +0000 2020,' help he blocked me ',0.31,0.24,0.46,0.04,0.37,0.59
