ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,therock,Sat Nov 28 23:47:34 +0000 2020,' ich sehr gemocht schwarze eine chance geben deswegen mark henry oder therock oder kofi kengston aber auch undertaker ich eine sehr alte konolizierunk von ihn',0.07,0.0,0.93,0.04,0.33,0.63
2,therock,Sat Nov 28 23:46:25 +0000 2020,"' ponti was my sparring partner when he , his brother jeff and their cousin ben attended westmoor hs. great fighter, we learned from each other. sorry i lost touch with them all as my life progressed. he will always be remembered as a great friend by me.'",0.22,0.06,0.72,0.03,0.46,0.51
3,therock,Sat Nov 28 23:46:11 +0000 2020,"' oh yeah im up on ernest miller, i used to watch wcw back in the day and was hype when he teamed up with glacier. i run that tag team on fire pro to this day lol'",0.12,0.06,0.82,0.03,0.43,0.54
4,therock,Sat Nov 28 23:44:54 +0000 2020,' royce freeman is the #broncos emergency qb...',0.24,0.23,0.53,0.04,0.32,0.64
5,therock,Sat Nov 28 23:44:05 +0000 2020,' one minute #breakdown: with the #epic spinning heel kick #ko!\n\npls share if you dig. \n\n#badrhari #kickbo',0.14,0.0,0.86,0.03,0.4,0.57
6,therock,Sat Nov 28 23:44:02 +0000 2020,"' search his name on wwe network. his feuds were all hilarious. he had some legit karate skills, and he was the king of the sneak attack (lol). '",0.15,0.15,0.69,0.05,0.35,0.6
7,therock,Sat Nov 28 23:46:11 +0000 2020,"' oh yeah im up on ernest miller, i used to watch wcw back in the day and was hype when he teamed up with glacier. i run that tag team on fire pro to this day lol'",0.12,0.06,0.82,0.03,0.43,0.54
8,therock,Sat Nov 28 23:42:29 +0000 2020,' all thanks to the rock ',0.33,0.0,0.67,0.04,0.36,0.6
9,therock,Sat Nov 28 23:42:28 +0000 2020,' the last time the broncos played a rb at qb ',0.18,0.0,0.82,0.04,0.34,0.63
10,therock,Sat Nov 28 23:39:45 +0000 2020,' lol i had to go watch some ernest miller promos on youtube just now and somebody in the comments said he was giving him mike epps vibes ',0.16,0.0,0.84,0.04,0.35,0.62
11,therock,Sat Nov 28 23:37:53 +0000 2020,'hey - are you taking suggestions for the #xfl2022? you should allow players in motion pre-snap like the - just saying',0.19,0.0,0.81,0.07,0.35,0.58
