ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,BBCSport,Sun Nov 29 11:52:22 +0000 2020,"' wrong - ole, lampard &amp; arteta have recently and below was pep last week.\n\nlet\'s see if the other clubs who don\'t have to play in europe ""whinge"" when they\'re players start dropping off with injuries when they start playing multiple times a week over xmas.\n\n'",0.08,0.06,0.85,0.03,0.38,0.59
2,BBCSport,Sun Nov 29 11:52:00 +0000 2020,"' its all your fault that this is happening, #youtube boxing is a joke bc of all u lot, and the rest, u all promote it and big it up, your all thinking of tge big pay day, wen som1 gets hurt look at yourselves '",0.09,0.14,0.77,0.04,0.45,0.51
3,BBCSport,Sun Nov 29 11:51:57 +0000 2020,"' and the teams not in europe have an advantage to be able to prepare for a week and have players fit and ready, why is that not brought up? all teams will get 5 subs, not just the big teams'",0.16,0.0,0.84,0.03,0.35,0.62
4,BBCSport,Sun Nov 29 11:51:53 +0000 2020,'some great dramatic music and quality narration by sir michael caine in this.\n\n#fifaworldcup1986 #bbc2\n\n',0.24,0.0,0.76,0.03,0.33,0.64
5,BBCSport,Sun Nov 29 11:51:50 +0000 2020,"' yes they have - milner highlighted it needed scrapping in his book he released just after winning the prem.\n\nwhy is it no one actually bothered to research what they say, before they say it. just look a complete moron now '",0.12,0.15,0.73,0.05,0.37,0.58
6,BBCSport,Sun Nov 29 11:51:47 +0000 2020,' called out conor mcgregor ffs why is all sport now like a fucking pantomime',0.13,0.2,0.67,0.09,0.89,0.02
7,BBCSport,Sun Nov 29 11:51:45 +0000 2020,' im on my knees for mcgregor to accept this fight ',0.17,0.19,0.64,0.03,0.39,0.58
8,BBCSport,Sun Nov 29 11:51:33 +0000 2020,' england will face france in the autumn nations cup final after beating wales.\n\nand head coach eddie jones says england still',0.0,0.13,0.87,0.04,0.33,0.63
9,BBCSport,Sun Nov 29 11:51:24 +0000 2020,""" arsenal are reportedly prepared to sell nicolas pepe in january.\n\nthat's what the papers are saying.\n\nthe latest gossip htt""",0.09,0.08,0.82,0.06,0.29,0.65
10,BBCSport,Sun Nov 29 11:50:55 +0000 2020,""" actually not. like mike tyson himself said. boxing is a dying sports and these yt boxers are making boxing great again. they have guaranteed 20 million viewers if 5 million of them subscribe to a pay per view model it's enough to keep boxing relevant.""",0.08,0.07,0.85,0.05,0.34,0.61
11,BBCSport,Sun Nov 29 11:50:47 +0000 2020,"""yet another instance of his huge ungraciousness when things aren't going quite as well as he likes. unpleasant man. """,0.28,0.12,0.6,0.07,0.41,0.52
12,BBCSport,Sun Nov 29 11:50:03 +0000 2020,' england will face france in the autumn nations cup final after beating wales.\n\nand head coach eddie jones says england still',0.0,0.13,0.87,0.04,0.33,0.63
13,BBCSport,Sun Nov 29 11:50:02 +0000 2020,"' ""these youtube celebs are making boxing a joke.""\n\nleading figures in boxing have raised concerns over safety after jake paul'",0.13,0.0,0.87,0.05,0.34,0.61
14,BBCSport,Sun Nov 29 11:49:59 +0000 2020,"' lets see what they say when harry kane falls to a muscle injury, their tune will change.'",0.0,0.14,0.86,0.04,0.34,0.62
15,BBCSport,Sun Nov 29 11:49:56 +0000 2020,' why do the state athletic commissions allow it? do they get a fee for sanctioning fights?',0.1,0.15,0.75,0.04,0.27,0.69
16,BBCSport,Sun Nov 29 11:49:52 +0000 2020,' liverpool won their first title in 30 yrs after the introduction of var.\n\nliverpool won the champions league in the same seas',0.36,0.0,0.64,0.04,0.31,0.65
17,BBCSport,Sun Nov 29 11:49:30 +0000 2020,' serious people stroking their chins about a rich youtube celebrity exploiting their favorite deadly bloodsport ordained by god to exploit the poor for the amusement of the rich.',0.34,0.2,0.46,0.05,0.32,0.63
18,BBCSport,Sun Nov 29 11:49:26 +0000 2020,' its definitely raised an eyebrow or two',0.28,0.0,0.72,0.04,0.32,0.64
19,BBCSport,Sun Nov 29 11:48:45 +0000 2020,""" sky have 1st choice so couldn't have chosen chelsea. the only person crying was klopp...being an arrogant bellend to a reporter for something he knows is nothing to do with him just because he didnt win the game. he should tell the owners not to solely care about money, not bt""",0.0,0.2,0.8,0.04,0.36,0.59
20,BBCSport,Sun Nov 29 11:48:28 +0000 2020,' im sure every single one of your followers agrees... ',0.31,0.0,0.69,0.05,0.46,0.49
21,BBCSport,Sun Nov 29 11:48:06 +0000 2020,' liverpool won their first title in 30 yrs after the introduction of var.\n\nliverpool won the champions league in the same seas',0.36,0.0,0.64,0.04,0.31,0.65
22,BBCSport,Sun Nov 29 11:48:02 +0000 2020,' england will face france in the autumn nations cup final after beating wales.\n\nand head coach eddie jones says england still',0.0,0.13,0.87,0.04,0.33,0.63
23,BBCSport,Sun Nov 29 11:48:02 +0000 2020,' haha i do agree with him but lets scrap var now its not going for us ',0.19,0.0,0.81,0.04,0.4,0.56
24,BBCSport,Sun Nov 29 11:47:32 +0000 2020,' theyve updated it now thankfully ',0.32,0.0,0.68,0.04,0.33,0.63
25,BBCSport,Sun Nov 29 11:47:22 +0000 2020,'f*ck off!! f*ck off some more and when you get there f*ck off fuher!!\n\nwhat a world we live in. you really are just a joke of an organisation now. ',0.1,0.0,0.9,0.05,0.34,0.61
26,BBCSport,Sun Nov 29 11:47:15 +0000 2020,'klopps lost the plot ',0.0,0.36,0.64,0.04,0.31,0.65
27,BBCSport,Sun Nov 29 11:46:45 +0000 2020,"' ""like two of my uncles fighting at a barbecue.""\n\nmike tyson made his comeback to boxing in a draw with roy jones jr.\n\nbut e'",0.09,0.09,0.81,0.04,0.39,0.57
28,BBCSport,Sun Nov 29 11:46:37 +0000 2020,' india need 131 from the last 10 overs. \n\n &amp; at the crease. \n\ncould be a thriller! \n\ncommentary continu',0.08,0.0,0.92,0.04,0.32,0.65
29,BBCSport,Sun Nov 29 11:45:52 +0000 2020,""" he's said it every week tbf. like micah richards has said. you have a 25 man squad.""",0.13,0.0,0.87,0.06,0.41,0.53
30,BBCSport,Sun Nov 29 11:45:51 +0000 2020,' england will face france in the autumn nations cup final after beating wales.\n\nand head coach eddie jones says england still',0.0,0.13,0.87,0.04,0.33,0.63
31,BBCSport,Sun Nov 29 11:45:37 +0000 2020,' fuck me. they get one decision against them and all hell breaks loose. absolute tossers. i mean seriously talk about bei',0.0,0.4,0.6,0.07,0.91,0.02
32,BBCSport,Sun Nov 29 11:45:30 +0000 2020,' fuck me. they get one decision against them and all hell breaks loose. absolute tossers. i mean seriously talk about bei',0.0,0.4,0.6,0.07,0.91,0.02
33,BBCSport,Sun Nov 29 11:45:24 +0000 2020,' hes correct in what he said. guardiola thinks the same. no other manager has the bottle to speak out live on camera.',0.0,0.09,0.91,0.05,0.33,0.62
34,BBCSport,Sun Nov 29 11:45:09 +0000 2020,' better than coutuinho you said plastic but hazard paaa i shock oo',0.12,0.21,0.67,0.05,0.37,0.59
35,BBCSport,Sun Nov 29 11:45:00 +0000 2020,"""england will face france in the autumn nations cup final after beating wales.\n\nand head coach eddie jones says england still haven't reached their peak.\n\n \n\n#bbcrugbyunion """,0.0,0.15,0.85,0.04,0.33,0.63
36,BBCSport,Sun Nov 29 11:44:39 +0000 2020,"' all these managers that are happy with the millions that have been poured into the premiership and their clubs from tv rights, but now not happy that they are dancing to the same tv companies tune. you took the money, now they own you!'",0.05,0.09,0.87,0.07,0.39,0.54
37,BBCSport,Sun Nov 29 11:44:28 +0000 2020,"' ""these youtube celebs are making boxing a joke.""\n\nleading figures in boxing have raised concerns over safety after jake paul'",0.13,0.0,0.87,0.05,0.34,0.61
38,BBCSport,Sun Nov 29 11:44:16 +0000 2020,' bbc shame on you ',0.0,0.38,0.62,0.05,0.39,0.56
39,BBCSport,Sun Nov 29 11:43:42 +0000 2020,"' guys gonna walk round like hes fucking god now. hes fought 3 guys that couldnt beat a fucking bin bag. jake looks like hes worked on it which is a credit to him, but he needs to fight others that have actually trained in boxing because its just pathetic at the moment.'",0.11,0.16,0.73,0.1,0.84,0.06
40,BBCSport,Sun Nov 29 11:43:34 +0000 2020,' you can see underhill caught and put his shoulder in like he was tackling him and not just catching. in this day and age 99.9% of the time ref gives a penalty.',0.07,0.08,0.85,0.06,0.31,0.63
41,BBCSport,Sun Nov 29 11:43:33 +0000 2020,' the top teams first 11 is better than the bottom teams first 11 so it stands to reason that 12-16 are also better. does that increase the advantage they already have? i dont know... the bottom teams advantage is they dont have european football for midweek games. thats it.',0.24,0.0,0.76,0.04,0.37,0.6
42,BBCSport,Sun Nov 29 11:43:31 +0000 2020,' good point well made ',0.56,0.0,0.44,0.04,0.33,0.63
43,BBCSport,Sun Nov 29 11:43:24 +0000 2020,"' he is serious, he trains full time and clearly has ability. but he would never turn down the big money. he only needs to fight a couple more celebrities and he is set for life and barely taken damage. \n\nfair play to him.'",0.12,0.16,0.72,0.05,0.33,0.62
44,BBCSport,Sun Nov 29 11:43:23 +0000 2020,"' rotate your starting 11 more, problem fixed. thats why the top teams have bigger squads in the first place. because they have more games to play.'",0.14,0.1,0.76,0.05,0.3,0.65
45,BBCSport,Sun Nov 29 11:43:23 +0000 2020,' klopp said the same thing last week after beating leicester 3-0.',0.0,0.21,0.79,0.04,0.32,0.64
46,BBCSport,Sun Nov 29 11:43:13 +0000 2020,"' im no boxing man but what i saw was a jab and grab "" fight "" . something you see in the playground , again i\'m no boxing man but it is a disgrace for real boxers out there and the sport as a whole.'",0.0,0.22,0.78,0.04,0.4,0.56
47,BBCSport,Sun Nov 29 11:42:42 +0000 2020,'var would be fine if it was managed properly. ',0.17,0.0,0.83,0.02,0.38,0.6
48,BBCSport,Sun Nov 29 11:42:35 +0000 2020,""" arsenal are reportedly prepared to sell nicolas pepe in january.\n\nthat's what the papers are saying.\n\nthe latest gossip htt""",0.09,0.08,0.82,0.06,0.29,0.65
49,BBCSport,Sun Nov 29 11:42:28 +0000 2020,""" his death was tragic? his arrogance killed his 5 year old son and 2 family friends, while flying at low level.\nunnecessary manoeuvres, i think it was called.. so his sons death was tragic, his wasn't.""",0.06,0.44,0.51,0.08,0.34,0.58
50,BBCSport,Sun Nov 29 11:42:08 +0000 2020,'ah yes because 2 pensioners headlining a ppv is a shining example of what we all want the sport to be. rather watch another jake paul fight before another tyson or jones fight ',0.1,0.13,0.77,0.09,0.31,0.6
51,BBCSport,Sun Nov 29 11:41:10 +0000 2020,"'snoop dogg: like two of my uncles fighting at a barbecue! \n, : "" "" ? '",0.12,0.12,0.75,0.04,0.39,0.57
52,BBCSport,Sun Nov 29 11:41:09 +0000 2020,""" what power do i have that my agenda can influence anyone or anything. these are my observations based on klopp and his players losing a perfectly winnable game yesterday. instead of being magnanimous in defeat, it is everyone else's fault.""",0.14,0.16,0.7,0.05,0.43,0.52
53,BBCSport,Sun Nov 29 11:40:55 +0000 2020,""" making a mockery out of the sport , if they want to fight let them but do it under amateur rules , as u can clearly see they ain't pro boxers and wouldn't stand a chance against any decent pro boxer""",0.1,0.12,0.78,0.03,0.4,0.57
54,BBCSport,Sun Nov 29 11:40:46 +0000 2020,' yeh true. i guess who he fights next will show whether hes serious or not. but hell probably go for the money',0.24,0.1,0.66,0.04,0.5,0.45
55,BBCSport,Sun Nov 29 11:40:23 +0000 2020,'bruh var helped you win the league last season.. #bhaliv ',0.28,0.0,0.72,0.05,0.35,0.6
56,BBCSport,Sun Nov 29 11:39:23 +0000 2020,' this is the actual answer. no further analysis needed.',0.0,0.2,0.8,0.04,0.33,0.63
57,BBCSport,Sun Nov 29 11:39:13 +0000 2020,' hed get knocked out in the first round and never fight again. he needs to beat these other celebs for the cash cow to continue.',0.08,0.0,0.92,0.04,0.35,0.61
58,BBCSport,Sun Nov 29 11:39:10 +0000 2020,' liverpool won their first title in 30 yrs after the introduction of var.\n\nliverpool won the champions league in the same seas',0.36,0.0,0.64,0.04,0.31,0.65
59,BBCSport,Sun Nov 29 11:38:51 +0000 2020,"""'what a goal that is!' - plymouth's reeves scores with superb volley via """,0.25,0.0,0.75,0.04,0.21,0.75
60,BBCSport,Sun Nov 29 11:38:09 +0000 2020,' pretend boxer defeats pretend boxer in pretend boxing match ',0.0,0.48,0.52,0.04,0.33,0.63
61,BBCSport,Sun Nov 29 11:38:07 +0000 2020,' they said the premier league agree the broadcast slots. which the clubs agree to. would be some business plan from bt to pay 900m for games and then not pick any side from last years top 7 anytime there are european games and let sky have them instead',0.13,0.03,0.85,0.04,0.26,0.7
62,BBCSport,Sun Nov 29 11:38:01 +0000 2020,' great article. looking forward to watching the race. but one serious omission. what time does it actually start???',0.14,0.07,0.79,0.12,0.22,0.66
