ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,Lakers,Sun Nov 29 14:57:45 +0000 2020,"'i work so much i dont have time or the energy to watch my cowboys, lakers or any of these boxing fights '",0.08,0.1,0.81,0.04,0.43,0.53
2,Lakers,Sun Nov 29 14:57:33 +0000 2020,' lakers hard as hell to beat on that bit lol the hawks nice though',0.25,0.27,0.49,0.03,0.7,0.27
3,Lakers,Sun Nov 29 14:56:33 +0000 2020,"' pau is one of my favorite players... as a chinese lakers fans, i can see their games in the morning, i love what pau and kobe did for la. i do hope lakers can sign pau with a short contract, he and kobe are my heroes when the was a child.'",0.22,0.0,0.78,0.04,0.3,0.66
4,Lakers,Sun Nov 29 14:55:26 +0000 2020,"' the greatest scouting report of all-time, brought to you by '",0.28,0.0,0.72,0.06,0.44,0.51
5,Lakers,Sun Nov 29 14:55:23 +0000 2020,"' magic johnson put up this ridiculous line against the 76ers 32 years ago today: 32 pts, 20 ast, 10 reb, 52% fg, 100% 3pt\n\nl'",0.0,0.11,0.89,0.04,0.33,0.64
6,Lakers,Sun Nov 29 14:53:43 +0000 2020,' brooklyn nets durant and kyrie irving are definitely box office attraction. the nba wants eastern conference rivalries too. kyrie irving playing against his former boston celtics. there is a nba community outside of the lakers you know ?',0.17,0.0,0.83,0.06,0.29,0.65
7,Lakers,Sun Nov 29 14:52:49 +0000 2020,"' happy birthday to the most iconic announcer of all-time, the legendary chick hearn. '",0.21,0.0,0.79,0.04,0.36,0.6
8,Lakers,Sun Nov 29 14:51:09 +0000 2020,'yeah. tell me more how the lakers defense was weakened this offseason.... ',0.23,0.14,0.62,0.03,0.41,0.57
9,Lakers,Sun Nov 29 14:50:16 +0000 2020,' you make it sound like gangs of white dudes clotheslining people . and pippen came 3 years later. the lakers and celtics were the teams those years. facts are off ',0.07,0.0,0.93,0.31,0.31,0.39
10,Lakers,Sun Nov 29 14:49:55 +0000 2020,' blessings ',0.64,0.0,0.36,0.04,0.33,0.63
11,Lakers,Sun Nov 29 14:49:51 +0000 2020,' good luck to former wcb star and his new opportunity with the !',0.45,0.0,0.55,0.05,0.26,0.69
12,Lakers,Sun Nov 29 14:49:26 +0000 2020,'pq os lakers nao pega esse kuzma e joga no lixo?? mlk horrivel',0.0,0.18,0.82,0.04,0.34,0.62
13,Lakers,Sun Nov 29 14:50:01 +0000 2020,"'23. black, grey, white, green'",0.23,0.0,0.77,0.51,0.38,0.12
14,Lakers,Sun Nov 29 14:49:07 +0000 2020,"'that tyson vs. jones fight was so much fun, now we just need a celtics vs. lakers 1987 championship rematch.\n\nhow much fun would it be if the nba had had something like the pga senior tour?'",0.27,0.06,0.68,0.03,0.37,0.59
15,Lakers,Sun Nov 29 14:47:17 +0000 2020,' everyone except fans were surprised that did what he did last night. as always yall late to the party.',0.2,0.0,0.8,0.04,0.42,0.54
16,Lakers,Sun Nov 29 14:46:40 +0000 2020,' happy birthday dave!! even though youre a lakers fan ',0.42,0.0,0.58,0.04,0.34,0.62
17,Lakers,Sun Nov 29 14:44:58 +0000 2020,' i believe in kyle kuzma. id also like to point out the 9th man on the 2021 lakers has a signature shoe deal and a nation',0.09,0.0,0.91,0.04,0.34,0.62
18,Lakers,Sun Nov 29 14:44:26 +0000 2020,"' toda torcida tem gente assim, q a do lakers mt grande. ano passadk a torcida do blazers no tt comeou a comparar lillard com curry depois daquela srie vs thunder'",0.0,0.07,0.93,0.04,0.34,0.62
19,Lakers,Sun Nov 29 14:43:45 +0000 2020,"' the fascinating thing is that between the lightning, lakers and dodgers all three titles in covid season were won by legitimately great teams that were among favorites (if not the favs) at the start of the year. you can include bayern munich in the champions league too.'",0.29,0.0,0.71,0.04,0.36,0.61
