ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,CERN,Sat Nov 28 13:52:35 +0000 2020,"' hey ! we just observed an object exceed the speed of light. it was a small, grey tabby cat in our barn who we sur'",0.06,0.0,0.94,0.04,0.36,0.6
2,CERN,Sat Nov 28 13:49:56 +0000 2020,"' eigentlich fehlt 2020 nur noch, da sich die cern leute mit ""wegen den schwarzen lchern, n? uns is da grad was lustiges'",0.0,0.15,0.85,0.27,0.3,0.43
3,CERN,Sat Nov 28 13:43:53 +0000 2020,' want to know more about the current status of the field of #artificialintelligence research today and how cern and other big scie',0.06,0.0,0.94,0.03,0.3,0.66
4,CERN,Sat Nov 28 13:42:08 +0000 2020,' her prices are in mm (millimetres). royal academy of science or cern might be able to help her out.',0.12,0.0,0.88,0.04,0.53,0.43
5,CERN,Sat Nov 28 13:18:56 +0000 2020,"' that is not really helpful, i now have less idea'",0.0,0.2,0.8,0.04,0.37,0.59
6,CERN,Sat Nov 28 13:16:50 +0000 2020,' i believe that diverse teams can now lead us ultimately to having ai for the benefit of society. \n#cern',0.14,0.0,0.86,0.05,0.32,0.63
7,CERN,Sat Nov 28 13:15:11 +0000 2020,"' that source would rightly be infinite backwards and forwards so i am not sure if their is a regression or not. it may be the one source. when i meditate i am at one with source or essence, no matter, no it, no is, no thing, infinite, eternal,space,silence, stillness, beyond mind'",0.1,0.06,0.84,0.03,0.43,0.54
8,CERN,Sat Nov 28 13:13:14 +0000 2020,"'i love the aesthetic od gimme love mv, it gives me cern vibes\nevery time i watch it it makes me remember my trip to switzerland '",0.26,0.0,0.74,0.03,0.4,0.57
9,CERN,Sat Nov 28 13:18:56 +0000 2020,"' that is not really helpful, i now have less idea'",0.0,0.2,0.8,0.04,0.37,0.59
10,CERN,Sat Nov 28 13:05:41 +0000 2020,"' well i conceive of some kind of source. and if we say what is the source of that source, it leads to an infinite regress of sources'",0.07,0.0,0.93,0.03,0.34,0.62
11,CERN,Sat Nov 28 13:15:11 +0000 2020,"' that source would rightly be infinite backwards and forwards so i am not sure if their is a regression or not. it may be the one source. when i meditate i am at one with source or essence, no matter, no it, no is, no thing, infinite, eternal,space,silence, stillness, beyond mind'",0.1,0.06,0.84,0.03,0.43,0.54
12,CERN,Sat Nov 28 13:05:25 +0000 2020,' what the hell does infinite regress mean',0.0,0.4,0.6,0.03,0.76,0.2
13,CERN,Sat Nov 28 13:04:43 +0000 2020,'the cern summer student programme is the reason i am in particle physics. i highly recommend it. ',0.14,0.0,0.86,0.04,0.31,0.65
14,CERN,Sat Nov 28 13:01:53 +0000 2020,"""pharaonic rule is dead. #templars #talmud the devil has no need of thee moreso.\n\nlilit is the ouroboros, 'she' consumes her own... that would be you all.\n\nlilit = crone\n\ntime to repent if you can.\n""",0.0,0.27,0.73,0.06,0.58,0.36
15,CERN,Sat Nov 28 13:00:17 +0000 2020,' the cern summer student programme registration is open!\n\nthis is the worlds top summer programme for physics ba/ma studen',0.1,0.0,0.9,0.04,0.35,0.61
16,CERN,Sat Nov 28 12:59:59 +0000 2020,' want to know more about the current status of the field of #artificialintelligence research today and how cern and other big scie',0.06,0.0,0.94,0.03,0.3,0.66
17,CERN,Sat Nov 28 12:59:11 +0000 2020,"'scientist and the elite try to hide what really happened at cern, demoni... via '",0.0,0.11,0.89,0.05,0.16,0.79
18,CERN,Sat Nov 28 12:58:25 +0000 2020,""" creative forum 2020 is just around the corner - we'll be following the program live in geneva with head mon""",0.13,0.0,0.87,0.04,0.36,0.61
19,CERN,Sat Nov 28 12:54:24 +0000 2020,' its called community and humans need it. i know many older people who are struggling with being alone because of the restrictions. depression and physical deterioration ensues.',0.0,0.25,0.75,0.05,0.32,0.63
20,CERN,Sat Nov 28 12:52:10 +0000 2020,"'you may have heard of my cousin, the cern large hadron collider. theyre doing important work, but they cant reconcile sorrow and want.'",0.25,0.0,0.75,0.04,0.36,0.6
21,CERN,Sat Nov 28 12:30:09 +0000 2020,'cern: health and safety coordinator (e... - another new job from energy jobline. click the image for full details and apply. #energy #alternativeenergy #oilgas #oilandgasjobs #engineering #peakoil #cleanenergy #careers #jobpostings #jobseekers #recruitment ',0.19,0.0,0.81,0.06,0.23,0.71
22,CERN,Sat Nov 28 12:13:56 +0000 2020,' es gab die sorge das im cern ein schwarzes loch erzeugt wird. #kalkar ist nher drann.',0.0,0.2,0.8,0.15,0.19,0.66
23,CERN,Sat Nov 28 11:54:12 +0000 2020,'es gab die sorge das im cern ein schwarzes loch erzeugt wird. #kalkar ist nher drann.',0.0,0.21,0.79,0.15,0.19,0.66
24,CERN,Sat Nov 28 11:49:30 +0000 2020,'ests interesado en realizar as tas investigacins artsticas nun laboratorio cientfico? o premio #collide ofrece varias residencias artsticas de 3 meses con gastos pagos en cern (xenebra) ou hangar. org (barcelona). \nata o 7 de decembro ',0.0,0.04,0.96,0.04,0.34,0.62
25,CERN,Sat Nov 28 11:41:34 +0000 2020,""" that's the very sole reason why the designer/christiangod/allah/jewishgod are false.....who created them. god as i understand the word is not matter""",0.17,0.04,0.79,0.05,0.12,0.83
26,CERN,Sat Nov 28 11:29:31 +0000 2020,' this amazed me like cern did ',0.49,0.0,0.51,0.04,0.38,0.57
27,CERN,Sat Nov 28 11:21:27 +0000 2020,""" not if special pleading is claimed as christians claim all the time.\ngod always being here doesn't make sense... just another baseless thing christians say without much thought or logic.""",0.0,0.07,0.93,0.07,0.34,0.59
28,CERN,Sat Nov 28 11:08:49 +0000 2020,' the cern summer student programme registration is open!\n\nthis is the worlds top summer programme for physics ba/ma studen',0.1,0.0,0.9,0.04,0.35,0.61
29,CERN,Sat Nov 28 10:59:26 +0000 2020,' fair cern',0.54,0.0,0.47,0.04,0.33,0.63
30,CERN,Sat Nov 28 10:57:54 +0000 2020,"' conceived during their collide residency at , the wave epoch by #haroonmirza &amp; #jackjelfs imagines a distant future'",0.0,0.07,0.93,0.04,0.36,0.6
31,CERN,Sat Nov 28 10:56:16 +0000 2020,"' not when you do some special pleading, i suppose'",0.23,0.0,0.77,0.06,0.42,0.52
32,CERN,Sat Nov 28 10:54:10 +0000 2020,' the cern summer student programme registration is open!\n\nthis is the worlds top summer programme for physics ba/ma studen',0.1,0.0,0.9,0.04,0.35,0.61
33,CERN,Sat Nov 28 10:41:13 +0000 2020,""" when you donate blood, you can lose as much as 650 calories.\n\nthat's quite a number, coupled with the loss of blood itse""",0.06,0.19,0.75,0.04,0.42,0.54
34,CERN,Sat Nov 28 10:41:07 +0000 2020,' please how many times can a person donate blood in a month since calories are involved?',0.13,0.0,0.87,0.05,0.31,0.64
35,CERN,Sat Nov 28 10:38:08 +0000 2020,"'you worried about your girls besties influencing her to leave you over a petty fight and encouraging her to start a hoe phase....my girls bff is encouraging us to work with her at cern in the swiss alps while living in the south of france partying/traveling, we are not the same'",0.17,0.12,0.7,0.04,0.88,0.08
36,CERN,Sat Nov 28 10:32:36 +0000 2020,' and wouldnt his god be the most complex thing in the universe and therefore need a designer?',0.0,0.1,0.9,0.05,0.28,0.67
37,CERN,Sat Nov 28 10:14:46 +0000 2020,' the cern summer student programme registration is open!\n\nthis is the worlds top summer programme for physics ba/ma studen',0.1,0.0,0.9,0.04,0.35,0.61
38,CERN,Sat Nov 28 10:12:51 +0000 2020,' the cern summer student programme registration is open!\n\nthis is the worlds top summer programme for physics ba/ma studen',0.1,0.0,0.9,0.04,0.35,0.61
39,CERN,Sat Nov 28 10:11:57 +0000 2020,""" the new collection of 200 additional software packages make most atlas software open and reinforces 's commitment""",0.13,0.0,0.87,0.04,0.27,0.69
