ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,NatureNews,Sat Nov 28 15:03:19 +0000 2020,' are u actually serious ? daylight robbery! do u expect us to be ever grateful to your new money grab? i dont plan to review for you for quite a while...',0.1,0.04,0.86,0.1,0.26,0.64
2,NatureNews,Sat Nov 28 14:56:28 +0000 2020,"' from the land of the ice and snow, from the midnight sun where the hot springs flow...\n\nby thors hammer, and the best sc'",0.15,0.0,0.85,0.04,0.25,0.71
3,NatureNews,Sat Nov 28 14:49:24 +0000 2020,' unep calls for better human waste management in africa ',0.2,0.19,0.61,0.1,0.22,0.68
4,NatureNews,Sat Nov 28 14:49:16 +0000 2020,' nestl nigeria employees clean markets across nigeria ',0.25,0.0,0.75,0.04,0.33,0.63
5,NatureNews,Sat Nov 28 14:41:43 +0000 2020,""" how do they came up with that number? in my mind, i see 2 external junior consultants (suit, no tie):\na: which number should we put on this open access thing?\nb: i don't know. like 10k?\na: that's insane.\nb: i know. lol.\na: lol. 9.5?\nb. sure. whatever.""",0.17,0.08,0.75,0.03,0.48,0.49
6,NatureNews,Sat Nov 28 14:33:43 +0000 2020,"' from the land of the ice and snow, from the midnight sun where the hot springs flow...\n\nby thors hammer, and the best sc'",0.15,0.0,0.85,0.04,0.25,0.71
7,NatureNews,Sat Nov 28 14:24:41 +0000 2020,'makes me want to move to iceland. ',0.16,0.0,0.84,0.05,0.36,0.6
8,NatureNews,Sat Nov 28 14:22:57 +0000 2020,"' yep. just paid an extra $2k (on top of publication and page fees) to make sure our most recent pnas is freely available now, vs 6 months from now. a true luxury of a well-funded lab, but an unnecessary burden for most.'",0.17,0.08,0.75,0.04,0.35,0.61
9,NatureNews,Sat Nov 28 14:20:03 +0000 2020,"' from the land of the ice and snow, from the midnight sun where the hot springs flow...\n\nby thors hammer, and the best sc'",0.15,0.0,0.85,0.04,0.25,0.71
10,NatureNews,Sat Nov 28 14:19:38 +0000 2020,"'from the land of the ice and snow, from the midnight sun where the hot springs flow...\n\nby thors hammer, and the best science, iceland beat back covid-19.\n\nbrilliant, must read piece: \n\n#covid19 #science #medicine #iceland by via '",0.1,0.0,0.9,0.04,0.2,0.76
11,NatureNews,Sat Nov 28 14:06:22 +0000 2020,"' a islndia teve sucesso combatendo a covid com cincia, no com cloroquina ou ivermectina. cincia entender a realidade, no impor a ela suas crenas.\n'",0.0,0.16,0.84,0.04,0.35,0.61
12,NatureNews,Sat Nov 28 14:04:56 +0000 2020,' i was depressed for more than thirty years and i never felt sad.',0.14,0.18,0.67,0.03,0.31,0.65
13,NatureNews,Sat Nov 28 14:03:25 +0000 2020,""" you\n\n-eat junk\n-watch news\n-watch porn\n-live in debt\n-don't exercise\n-play video games\n-smoke&amp;drink regularly\n-have a single source income\n-spend time with negative people\n\nand then you wonder why your life isn't changing???\n\nfollow me to change your life""",0.0,0.12,0.88,0.07,0.43,0.5
14,NatureNews,Sat Nov 28 14:00:10 +0000 2020,"'teams have tracked the health of every person who has tested positive for sars-cov-2, sequenced the genetic material of each viral isolate and screened more than half of the islands 368,000 residents for infection.\n'",0.1,0.05,0.86,0.04,0.3,0.66
15,NatureNews,Sat Nov 28 14:03:25 +0000 2020,""" you\n\n-eat junk\n-watch news\n-watch porn\n-live in debt\n-don't exercise\n-play video games\n-smoke&amp;drink regularly\n-have a single source income\n-spend time with negative people\n\nand then you wonder why your life isn't changing???\n\nfollow me to change your life""",0.0,0.12,0.88,0.07,0.43,0.5
16,NatureNews,Sat Nov 28 13:41:45 +0000 2020,"' it might push it a little higher on the to do priority list, for sure!'",0.15,0.0,0.85,0.03,0.39,0.58
17,NatureNews,Sat Nov 28 13:33:16 +0000 2020,'great news! ',0.69,0.0,0.31,0.04,0.3,0.66
18,NatureNews,Sat Nov 28 13:14:27 +0000 2020,' why do we want open articles? #openscience enables #diversity of thought by including all to critically think about the',0.06,0.0,0.94,0.04,0.34,0.62
19,NatureNews,Sat Nov 28 13:13:22 +0000 2020,' why do we want open articles? #openscience enables #diversity of thought by including all to critically think about the',0.06,0.0,0.94,0.04,0.34,0.62
20,NatureNews,Sat Nov 28 13:12:20 +0000 2020,' why do we want open articles? #openscience enables #diversity of thought by including all to critically think about the',0.06,0.0,0.94,0.04,0.34,0.62
21,NatureNews,Sat Nov 28 13:12:19 +0000 2020,' why do we want open articles? #openscience enables #diversity of thought by including all to critically thin',0.07,0.0,0.93,0.04,0.34,0.62
22,NatureNews,Sat Nov 28 13:12:03 +0000 2020,' why do we want open articles? #openscience enables #diversity of thought by including all to critically think about the validity of the science. 9500 ($11365) is not an #inclusivescience price tag. this was likely derived to maintain or improve the journal projected bottom line',0.09,0.0,0.91,0.04,0.33,0.63
23,NatureNews,Sat Nov 28 13:10:36 +0000 2020,'why do we want open articles? #openscience enables #diversity of thought by including all to critically think about the validity of the science. 9500 ($11365) is not an #inclusivescience price tag. this was likely derived to maintain or improve the journal projected bottom line ',0.09,0.0,0.91,0.04,0.33,0.63
24,NatureNews,Sat Nov 28 13:03:29 +0000 2020,' we live in age where knowledge is not accessible and lies and propaganda are freely available. publishers like these need to go the way of the .',0.23,0.06,0.71,0.07,0.28,0.65
25,NatureNews,Sat Nov 28 12:33:39 +0000 2020,"'""la depresin / no puede separarse de las relaciones de poder desiguales, entre mdico y paciente, y entre pases y corporaciones con poder desigual para globalizar sus formas de ver la angustia y sus tratamientos. el poder de decir quin es racional y quin no""\nsadowsky,2020 '",0.0,0.05,0.95,0.04,0.34,0.62
26,NatureNews,Sat Nov 28 12:29:00 +0000 2020,"' cosmic tension: dark energy in the form of quintessence or lambda, or disguised in many other ways.. and how it a'",0.08,0.17,0.74,0.04,0.3,0.66
27,NatureNews,Sat Nov 28 12:19:36 +0000 2020,"'when is sorrow sickness? a history of depression\n\nwrong question!\n\nit should be ""when isn\'t distress ptsd?""\n\nwhat are ptsd triggers? '",0.0,0.31,0.69,0.05,0.38,0.57
28,NatureNews,Sat Nov 28 12:11:21 +0000 2020,""" it would be a lot easier to prioritise doing reviews if they paid you 700 per review, wouldn't it?""",0.13,0.0,0.87,0.04,0.37,0.59
29,NatureNews,Sat Nov 28 12:00:06 +0000 2020,"'""the history of depression is also about who decides what is normal and what is not.""\n'",0.0,0.2,0.8,0.06,0.34,0.6
30,NatureNews,Sat Nov 28 11:30:45 +0000 2020,'what?! so ... rich/already well-funded authors will gain greater influence? this is pure #elitism in action: ',0.3,0.0,0.7,0.05,0.35,0.61
31,NatureNews,Sat Nov 28 11:20:34 +0000 2020,"' ""joining horizon europe is the best option."" our president spoke to on the issues that will shape our future scie'",0.17,0.0,0.83,0.04,0.32,0.63
32,NatureNews,Sat Nov 28 10:05:06 +0000 2020,'looking for items to add to your christmas gift list? take a look at these science books as reviewed by ',0.13,0.0,0.87,0.06,0.39,0.55
33,NatureNews,Sat Nov 28 09:38:46 +0000 2020,"' please read our recent editorial, led by \n\n \n""article processing charges are stalling the'",0.13,0.21,0.66,0.05,0.32,0.63
34,NatureNews,Sat Nov 28 09:29:43 +0000 2020,"' ""long-awaited""?\n\nwho are the swathes of people who have been eagerly waiting for this abomination?\n\n*an* alternative to the status quo might be long-awaited. but i doubt this particular one is.'",0.05,0.11,0.84,0.07,0.33,0.61
35,NatureNews,Sat Nov 28 09:17:15 +0000 2020,"' wait, so not only does nature charge a whopping 9500 per oa article, but for some journals, you also have to pay over'",0.0,0.07,0.94,0.03,0.44,0.53
36,NatureNews,Sat Nov 28 09:16:59 +0000 2020,'lost species day: celebrities to champion threatenedwildlife ',0.32,0.19,0.49,0.04,0.32,0.64
37,NatureNews,Sat Nov 28 09:09:01 +0000 2020,""" what's new? it's an old theory and some claim that it was falsified""",0.0,0.17,0.83,0.03,0.28,0.69
38,NatureNews,Sat Nov 28 09:02:09 +0000 2020,""" i'm still lowkey amazed that researchers don't get paid for published papers. like i never get used""",0.26,0.0,0.74,0.04,0.38,0.58
39,NatureNews,Sat Nov 28 09:01:21 +0000 2020,' i guess the nature group will announce soon how much they are going to pay to experts for reviewing manusc',0.0,0.07,0.94,0.05,0.28,0.66
40,NatureNews,Sat Nov 28 09:00:17 +0000 2020,"'""joining horizon europe is the best option."" our president spoke to on the issues that will shape our future science relationships and collaborations with the eu. '",0.14,0.0,0.86,0.04,0.32,0.64
41,NatureNews,Sat Nov 28 08:59:19 +0000 2020,"'in temperate trees, climate-driven increase in carbon capture causes autumn leaves to fallsooner '",0.15,0.0,0.85,0.04,0.33,0.63
42,NatureNews,Sat Nov 28 08:46:32 +0000 2020,'bidens climate plans can cut emissions and also be goodpolitics ',0.0,0.17,0.83,0.04,0.31,0.65
43,NatureNews,Sat Nov 28 08:18:21 +0000 2020,""" hey, , this comma is in the wrong spot: it's supposed to be 95,00! stop exploit scientists!""",0.0,0.33,0.67,0.05,0.36,0.59
44,NatureNews,Sat Nov 28 08:17:19 +0000 2020,'maina: ndume regains freedom after 5 days inprison ',0.34,0.0,0.66,0.04,0.33,0.63
45,NatureNews,Sat Nov 28 07:53:01 +0000 2020,' thank you ',0.46,0.0,0.55,0.07,0.44,0.49
46,NatureNews,Sat Nov 28 07:24:41 +0000 2020,'iran president blames israel for scientist killing and vows nuclear progress willcontinue ',0.14,0.36,0.5,0.04,0.29,0.67
47,NatureNews,Sat Nov 28 07:03:06 +0000 2020,"' things you can do for 9,500\n- go on a luxury vacation\n- redecorate your home\n- buy a car\n- pay for schoolbooks of &gt;300'",0.0,0.06,0.94,0.06,0.34,0.6
48,NatureNews,Sat Nov 28 07:02:57 +0000 2020,"' things you can do for 9,500\n- go on a luxury vacation\n- redecorate your home\n- buy a car\n- pay for schoolbooks of &gt;300'",0.0,0.06,0.94,0.06,0.34,0.6
49,NatureNews,Sat Nov 28 07:01:54 +0000 2020,"'okay so i will pay 9,500 so everyone can see what ive discovered in my research? are you effing kidding me? instead of getting the benefits out of my discovery only the journal will??? seriously??? thats the reason science is excluding. we have to make science free of charge '",0.18,0.06,0.76,0.04,0.44,0.52
50,NatureNews,Sat Nov 28 07:00:19 +0000 2020,""" let's just remind ourselves that springer nature's revenues were 1.72 billion in 2019. and a good chunk of that was prof""",0.12,0.0,0.88,0.03,0.37,0.61
51,NatureNews,Sat Nov 28 06:52:46 +0000 2020,"' things you can do for 9,500\n- go on a luxury vacation\n- redecorate your home\n- buy a car\n- pay for schoolbooks of &gt;300'",0.0,0.06,0.94,0.06,0.34,0.6
52,NatureNews,Sat Nov 28 06:11:29 +0000 2020,' well suggested.',0.51,0.0,0.49,0.04,0.33,0.63
53,NatureNews,Sat Nov 28 05:40:29 +0000 2020,' come save scientific peer review ',0.35,0.0,0.65,0.04,0.35,0.61
54,NatureNews,Sat Nov 28 05:23:02 +0000 2020,"'a rewilding win for the us this week, was the release of 100 bison into their new home in south dakota. #rewilding #naturenews '",0.14,0.0,0.86,0.05,0.26,0.69
55,NatureNews,Sat Nov 28 03:33:18 +0000 2020,"' #after rain there is always a sunshine &amp; after dark there is always a light, a hope #goodmorningeveryone '",0.25,0.0,0.75,0.06,0.28,0.65
56,NatureNews,Sat Nov 28 03:32:00 +0000 2020,"'#after rain there is always a sunshine &amp; after dark there is always a light, a hope #goodmorningeveryone '",0.26,0.0,0.74,0.06,0.28,0.65
57,NatureNews,Sat Nov 28 02:16:02 +0000 2020,' a recent analysis of the twisting of ancient light has found a slight hint that dark energy could be a variable substan',0.09,0.0,0.91,0.04,0.34,0.62
58,NatureNews,Sat Nov 28 02:03:29 +0000 2020,' a recent analysis of the twisting of ancient light has found a slight hint that dark energy could be a variable substan',0.09,0.0,0.91,0.04,0.34,0.62
59,NatureNews,Sat Nov 28 01:26:48 +0000 2020,"'i missed the discourse by a few days but my contrarian take is this is good because it will remind academics, in our moment of triumph, that we are rubes and suckers. this will eliminate egomaniac pis and cleanse us of the deadly sin of pride. '",0.18,0.17,0.65,0.06,0.32,0.62
