ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,WIREDScience,Sat Nov 28 10:02:56 +0000 2020,""" #savemedicalmsc the govt can't ignore the legitimate rights of thousands of scientists. """,0.14,0.0,0.86,0.04,0.32,0.64
2,WIREDScience,Sat Nov 28 06:25:34 +0000 2020,""" #savemedicalmsc the govt can't ignore the legitimate rights of thousands of scientists. """,0.14,0.0,0.86,0.04,0.32,0.64
3,WIREDScience,Sat Nov 28 05:55:00 +0000 2020,' a campaign has been started to allow lateral entry of non-mbbs degree holders as teachers in medical college. please know r',0.17,0.0,0.83,0.04,0.34,0.61
4,WIREDScience,Sat Nov 28 05:45:47 +0000 2020,' why we need a recount. did covid prevent the vote? to continue a 5 decade legacy of inept gvt.-vote no!',0.07,0.0,0.94,0.04,0.34,0.63
5,WIREDScience,Sat Nov 28 05:35:25 +0000 2020,""" #savemedicalmsc the govt can't ignore the legitimate rights of thousands of scientists. """,0.14,0.0,0.86,0.04,0.32,0.64
6,WIREDScience,Sat Nov 28 05:31:58 +0000 2020,"' its been a good run, folks. '",0.29,0.0,0.71,0.03,0.34,0.63
7,WIREDScience,Sat Nov 28 05:11:32 +0000 2020,' a campaign has been started to allow lateral entry of non-mbbs degree holders as teachers in medical college. please know r',0.17,0.0,0.83,0.04,0.34,0.61
8,WIREDScience,Sat Nov 28 04:06:55 +0000 2020,' a campaign has been started to allow lateral entry of non-mbbs degree holders as teachers in medical college. please know r',0.17,0.0,0.83,0.04,0.34,0.61
9,WIREDScience,Sat Nov 28 03:52:31 +0000 2020,' a campaign has been started to allow lateral entry of non-mbbs degree holders as teachers in medical college. please know r',0.17,0.0,0.83,0.04,0.34,0.61
10,WIREDScience,Sat Nov 28 03:41:04 +0000 2020,' i will always believe that the dimwit democrats rigged the outcome to get biden in office they will try to force him out as soon as possible because the dimwit democrats want to try to control america i pray that the outcome puts trump in office for 8 more years',0.07,0.05,0.89,0.07,0.32,0.61
11,WIREDScience,Sat Nov 28 03:12:23 +0000 2020,"' whatever fake campaign they(msc/phd)start, the media has duty to discover the truth and the truth is that every education system should have basic qualification to be an educator..and here ""mbbs"" is the basic qualification to teach a mbbs student #stopquackeryinmedicaleducation'",0.1,0.07,0.83,0.07,0.26,0.67
12,WIREDScience,Fri Nov 27 23:46:51 +0000 2020,"' #robots invade the #constructionsite:\nboosted by advances in sensors &amp; artificial intelligence (#ai), a new generation'",0.17,0.0,0.83,0.04,0.3,0.66
13,WIREDScience,Fri Nov 27 19:50:14 +0000 2020,"' the wheels come with tread made for bumpy elections. it cant be overturned, whatever the hell that means.'",0.0,0.2,0.8,0.03,0.53,0.44
14,WIREDScience,Fri Nov 27 19:38:54 +0000 2020,' a campaign has been started to allow lateral entry of non-mbbs degree holders as teachers in medical college. please know r',0.17,0.0,0.83,0.04,0.34,0.61
