ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,GretaThunberg,Sat Nov 28 23:38:20 +0000 2020,' no es por nada pero sa carajita es fea con bolas ',0.0,0.15,0.84,0.04,0.34,0.62
2,GretaThunberg,Sat Nov 28 23:36:55 +0000 2020,' no . ',0.0,0.42,0.58,0.04,0.37,0.59
3,GretaThunberg,Sat Nov 28 23:36:46 +0000 2020,' school strike week 119. today is black friday. overconsumption is wrecking present and future living conditions and the',0.0,0.08,0.92,0.05,0.27,0.68
4,GretaThunberg,Sat Nov 28 23:35:16 +0000 2020,"' i never buy stuff i don\'t need. only stuff i want. however, i\'m sure i bought my girlfriend stuff she didn\'t need. but because she wanted it, i needed to buy it. called ""girl friend sponsored capitalism."" not the same as ""state sponsored capitalism.""'",0.14,0.0,0.85,0.03,0.46,0.51
5,GretaThunberg,Sat Nov 28 23:34:47 +0000 2020,""" i could list more problems, but consider these the big five that are necessary to solve.\n\ndo i get a bit angry about slash and burn? sure, but how are you going to punish that country when they are trying to feed a populace simultaneously? it's complex.""",0.05,0.24,0.71,0.06,0.39,0.54
6,GretaThunberg,Sat Nov 28 23:34:00 +0000 2020,' that just motivated me to go out and buy something completely frivolous',0.2,0.0,0.8,0.03,0.37,0.59
7,GretaThunberg,Sat Nov 28 23:33:41 +0000 2020,"' shut up, comrade . the free market is one of the freedoms that human beings enjoy. '",0.37,0.0,0.63,0.12,0.27,0.61
8,GretaThunberg,Sat Nov 28 23:32:32 +0000 2020,' fantastic !',0.66,0.0,0.34,0.04,0.33,0.63
9,GretaThunberg,Sat Nov 28 23:32:25 +0000 2020,' school strike week 119. today is black friday. overconsumption is wrecking present and future living conditions and the',0.0,0.08,0.92,0.05,0.27,0.68
10,GretaThunberg,Sat Nov 28 23:32:13 +0000 2020,"' thank you, sue!'",0.48,0.0,0.52,0.06,0.39,0.55
11,GretaThunberg,Sat Nov 28 23:32:05 +0000 2020,' #climatestrike week 100. \ntruth is i expected better results by now after all these weeks but am equally disappointed:',0.08,0.17,0.75,0.05,0.43,0.52
