ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,MichelleObama,Sat Nov 28 23:32:45 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
2,MichelleObama,Sat Nov 28 23:32:41 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
3,MichelleObama,Sat Nov 28 23:32:38 +0000 2020,""" what will it be titled?\n\ni really don't care, do you? \n\nmemories of red christmas dreams? \n\nfascism, the backstory? \n\nhow to marry an orange millionaire? \n\nwritten by a ghost writer and/or partly stolen from 's memoir.""",0.06,0.21,0.73,0.05,0.32,0.63
4,MichelleObama,Sat Nov 28 23:32:36 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
5,MichelleObama,Sat Nov 28 23:31:28 +0000 2020,"' i have learned that as long as i hold fast to my beliefs and values, and follow my own moral compass, then the only ex'",0.1,0.0,0.9,0.04,0.41,0.55
6,MichelleObama,Sat Nov 28 23:30:58 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
7,MichelleObama,Sat Nov 28 23:29:57 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
8,MichelleObama,Sat Nov 28 23:29:51 +0000 2020,"' i have learned that as long as i hold fast to my beliefs and values, and follow my own moral compass, then the only ex'",0.1,0.0,0.9,0.04,0.41,0.55
9,MichelleObama,Sat Nov 28 23:29:48 +0000 2020,'i made my books kiss ... \n\n#becoming \n#apromisedland ',0.26,0.0,0.74,0.03,0.39,0.57
10,MichelleObama,Sat Nov 28 23:29:42 +0000 2020,"' abc news once said they had a surprise for me. it was from michelle obama, who had given me a free ticket to her becoming book'",0.18,0.0,0.82,0.03,0.44,0.53
11,MichelleObama,Sat Nov 28 23:29:18 +0000 2020,"' overcome covid-19 restrictions with truth, clearly and simply explained by a biochemist, etc. as to why our restrictions of masks, lockdowns, and vaccines are harmful and ineffective and unnecessary: youtube triggernometry ""are we being told the truth about covid-19""'",0.16,0.03,0.8,0.04,0.31,0.65
12,MichelleObama,Sat Nov 28 23:27:47 +0000 2020,' please report ',0.43,0.0,0.57,0.04,0.33,0.63
13,MichelleObama,Sat Nov 28 23:27:22 +0000 2020,"' abc news once said they had a surprise for me. it was from michelle obama, who had given me a free ticket to her becoming book'",0.18,0.0,0.82,0.03,0.44,0.53
14,MichelleObama,Sat Nov 28 23:26:05 +0000 2020,"' i have learned that as long as i hold fast to my beliefs and values, and follow my own moral compass, then the only ex'",0.1,0.0,0.9,0.04,0.41,0.55
15,MichelleObama,Sat Nov 28 23:25:48 +0000 2020,"""have and been to georgia campaigning for these senate seats? take the family. go all out. it's crucial nisntbit. get them excited get them voting. mend america.""",0.09,0.0,0.92,0.11,0.31,0.57
16,MichelleObama,Sat Nov 28 23:23:58 +0000 2020,"' and.... blocked. too much nonsense. why do trolls block as soon as they realize that someone is calling them out? oh, because theyre trolls. '",0.0,0.25,0.75,0.04,0.36,0.61
17,MichelleObama,Sat Nov 28 23:23:42 +0000 2020,' wow the corruption of a young mind by biden and his cronies.',0.24,0.0,0.76,0.05,0.36,0.59
18,MichelleObama,Sat Nov 28 23:22:01 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
19,MichelleObama,Sat Nov 28 23:21:51 +0000 2020,""" i hope you get to see this and i hope you like it!!! i painted you because you stutter just like me!!! i'm l""",0.35,0.06,0.59,0.2,0.32,0.48
20,MichelleObama,Sat Nov 28 23:21:22 +0000 2020,""" probably, but they'll edit the holiday part where she says f*ck christmas""",0.23,0.0,0.77,0.04,0.36,0.6
21,MichelleObama,Sat Nov 28 23:21:16 +0000 2020,"' i have learned that as long as i hold fast to my beliefs and values, and follow my own moral compass, then the only ex'",0.1,0.0,0.9,0.04,0.41,0.55
