ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,barackobama,Fri Nov 27 10:06:31 +0000 2020,""" on december 8, former u.s. president will accept pen america's voice of influence award &amp; join ron chernow for""",0.33,0.0,0.67,0.08,0.27,0.64
2,barackobama,Fri Nov 27 10:06:17 +0000 2020,""" truly shocking mr. obama\nthe former president's memoir is filled w/ outright falsehoods about the history of #israel.\nplease""",0.13,0.12,0.74,0.05,0.33,0.62
3,barackobama,Fri Nov 27 10:05:12 +0000 2020,'american democrats have always come to power on a globally catastrophic event.\n1991: russian collapse\n1992: elected\n2007: global financial crisis\n2008: \n2019: covid-19\n2020: \n\n \n\ncoincidence???',0.0,0.15,0.85,0.04,0.35,0.61
4,barackobama,Fri Nov 27 10:05:02 +0000 2020,' healthy food means less cost for diseases. #sac17 #socialreporters #abetterplace ',0.2,0.0,0.8,0.04,0.31,0.65
5,barackobama,Fri Nov 27 10:04:56 +0000 2020,"' dont you ever wonder why republican friends and employees go to jail only for former president trump.why other republicans so many others none have their friends or employees in jail .e.g. mcconnell,graham ,romney,cruz and mccain etc etc. they are not mafia'",0.07,0.06,0.88,0.04,0.32,0.64
6,barackobama,Fri Nov 27 10:03:58 +0000 2020,' thank you very good advise',0.59,0.0,0.41,0.05,0.38,0.57
7,barackobama,Fri Nov 27 10:03:35 +0000 2020,'just like the choice you made to bomb the middle east ruined lives??? ok barack ',0.2,0.29,0.51,0.05,0.35,0.6
8,barackobama,Fri Nov 27 10:03:34 +0000 2020,""" one thing you'll notice about is that he is very sympathetic towards racists.\nwhen he's confronted about""",0.18,0.09,0.74,0.06,0.41,0.53
9,barackobama,Fri Nov 27 10:03:33 +0000 2020,"""i'm very much touched by the suffering of this young mentally disabled man from west gambia """,0.0,0.16,0.84,0.04,0.39,0.57
10,barackobama,Fri Nov 27 10:03:20 +0000 2020,' you are a disgrace to your race.',0.0,0.31,0.69,0.55,0.03,0.42
11,barackobama,Fri Nov 27 10:02:25 +0000 2020,' i liked the old pfp better tbh',0.49,0.0,0.51,0.04,0.32,0.65
12,barackobama,Fri Nov 27 10:02:05 +0000 2020,""" on december 8, former u.s. president will accept pen america's voice of influence award &amp; join ron chernow for""",0.33,0.0,0.67,0.08,0.27,0.64
13,barackobama,Fri Nov 27 10:01:05 +0000 2020,' no he wasnt idoit it was like 2008',0.21,0.19,0.6,0.05,0.35,0.6
14,barackobama,Fri Nov 27 10:01:02 +0000 2020,' i dont understand how &amp; allowed to lie on . black poverty wasnt at its lowes',0.0,0.17,0.83,0.05,0.34,0.61
15,barackobama,Fri Nov 27 10:00:59 +0000 2020,' an absolute majority of the american citizens of puerto rico voted in favor of statehood last novem',0.14,0.0,0.86,0.04,0.29,0.67
16,barackobama,Fri Nov 27 10:00:34 +0000 2020,' president-elect biden also supports statehood ',0.29,0.0,0.71,0.04,0.33,0.63
17,barackobama,Fri Nov 27 10:00:06 +0000 2020,""" if he hadn't been in complete denial of the #trumpvirus and taken it seriously, 1. there wouldn't be so many dead. 2. people wouldn't be fighting over masks. 3. us gov might be able to take an oz of credit for the vaccines. keep trying to re-write history bozo.""",0.08,0.11,0.81,0.06,0.31,0.63
18,barackobama,Fri Nov 27 09:59:15 +0000 2020,'they make cutting yourself off from others virtuous ',0.29,0.13,0.59,0.04,0.32,0.64
19,barackobama,Fri Nov 27 09:59:02 +0000 2020,"' ha! i remember that day, but dont recall seeing a photo from taken from that angle. it looks even smaller in that photo, and he has gained weight since then. hes clumsy, too. i bet he has broken furniture &amp; valuables in the wh.'",0.14,0.08,0.78,0.04,0.34,0.62
20,barackobama,Fri Nov 27 09:58:37 +0000 2020,' dont let take credit for economy ...',0.0,0.24,0.76,0.02,0.33,0.64
21,barackobama,Fri Nov 27 09:58:06 +0000 2020,' president-elect biden also supports statehood ',0.29,0.0,0.71,0.04,0.33,0.63
