ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,borisjohnson,Fri Nov 27 09:54:45 +0000 2020,' ok apologies.',0.52,0.0,0.48,0.04,0.33,0.63
2,borisjohnson,Fri Nov 27 09:54:45 +0000 2020,' it appears the police here are overstepping their jurisdiction. it clearly says on the .gov webs',0.14,0.0,0.86,0.08,0.27,0.65
3,borisjohnson,Fri Nov 27 09:54:44 +0000 2020,' our uk hospitality/travel related business is in liquidation and closing for good. 30 well paid full time jobs gone.',0.22,0.0,0.78,0.05,0.31,0.65
4,borisjohnson,Fri Nov 27 09:54:43 +0000 2020,""" soooo\nlockdown isn't ending in 2 december, as promised.\n\nhe lies.""",0.0,0.24,0.76,0.04,0.35,0.61
5,borisjohnson,Fri Nov 27 09:54:43 +0000 2020,""" i'm very sorry to hear that mark they are heartless they feed on people's pain i have been going through the same torture please hang in there prayers """,0.06,0.3,0.64,0.06,0.33,0.61
6,borisjohnson,Fri Nov 27 09:54:42 +0000 2020,""" soooo\nlockdown isn't ending in 2 december, as promised.\n\nhe lies.""",0.0,0.24,0.76,0.04,0.35,0.61
7,borisjohnson,Fri Nov 27 09:54:40 +0000 2020,""" it's time for to get tough and hold this government to account. billions fritted a""",0.0,0.09,0.91,0.04,0.3,0.66
8,borisjohnson,Fri Nov 27 09:54:36 +0000 2020,""" do you really believe the nonsense you spout? the nhs wasn't overwhelmed because the situation was nowhe""",0.0,0.2,0.8,0.06,0.35,0.59
9,borisjohnson,Fri Nov 27 09:54:36 +0000 2020,' please read and educate yourself. mind you this will make up some of the evidence for the case for the prosecution in the upcoming enquiry \n\n',0.07,0.1,0.82,0.03,0.3,0.67
10,borisjohnson,Fri Nov 27 09:54:36 +0000 2020,"' looks like the reform party for me from now on, after cancelled christmas at our'",0.26,0.1,0.64,0.04,0.35,0.62
11,borisjohnson,Fri Nov 27 09:54:35 +0000 2020,"' truth: liverpool cases fell sharply by over 50% in 2 weeks since 6th nov, because they used much more accurate new lateral'",0.1,0.0,0.91,0.04,0.33,0.63
