ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,joebiden,Fri Nov 27 09:49:57 +0000 2020,' shame on any one were watching been able to save you but they chose to rob how cheap is that',0.08,0.26,0.67,0.05,0.38,0.56
2,joebiden,Fri Nov 27 09:49:57 +0000 2020,"""if we don't send the message that this treachery won't ever be tolerated again, we are bound to revisit. next time it will be an intelligent crew. mr. president elect, this needs to be addressed, in doing all the good you will do, this is will be of great importance! """,0.21,0.0,0.79,0.05,0.36,0.59
3,joebiden,Fri Nov 27 09:49:56 +0000 2020,""" good words m'dear. you should be in american.. for sure..""",0.37,0.0,0.63,0.05,0.43,0.52
4,joebiden,Fri Nov 27 09:49:55 +0000 2020,"'and you, sir, are at war with sanity... '",0.0,0.33,0.67,0.06,0.34,0.6
5,joebiden,Fri Nov 27 09:49:55 +0000 2020,' no call to apologise catrona. try not working to hard after all its friday . have a nice day.',0.27,0.09,0.64,0.04,0.5,0.47
6,joebiden,Fri Nov 27 09:49:54 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
7,joebiden,Fri Nov 27 09:49:52 +0000 2020,'#truth better pay attention. symbolic gesters and inaction or of fear or desire to protect the status quo is not good enough. ',0.3,0.26,0.43,0.04,0.3,0.65
8,joebiden,Fri Nov 27 09:49:44 +0000 2020,' trump is definitely a deeply troubled human being with a very poor soul. \n\ni am so thankful to be able to',0.23,0.21,0.56,0.09,0.3,0.61
9,joebiden,Fri Nov 27 09:49:43 +0000 2020,' happy thanksgiving to the new first family. ',0.32,0.0,0.68,0.04,0.25,0.71
10,joebiden,Fri Nov 27 09:49:43 +0000 2020,""" let's win this thing, pennsylvania! """,0.41,0.0,0.59,0.03,0.36,0.61
11,joebiden,Fri Nov 27 09:49:41 +0000 2020,"'when and finds out you have family over for christmas. i thought you might appreciate this. feel free to share, i created it, however the it does not show the entire creation. '",0.3,0.0,0.69,0.04,0.34,0.62
12,joebiden,Fri Nov 27 09:49:40 +0000 2020,"' while it takes a while for suicide rates to be measured, we havent seen the explosion we thought we would. '",0.0,0.18,0.82,0.04,0.27,0.69
13,joebiden,Fri Nov 27 09:49:38 +0000 2020,"' hi! im an angeleno who is continually underwhelmed by garcetti, and for the record id take him any day over anyone your worthless asses support.\n\ni would tell you to lose harder, but you cant. please be quiet.'",0.0,0.16,0.84,0.08,0.36,0.56
14,joebiden,Fri Nov 27 09:49:34 +0000 2020,""" and i'm not a trump supporter.""",0.0,0.23,0.77,0.04,0.3,0.66
15,joebiden,Fri Nov 27 09:49:33 +0000 2020,'thank you and for this very moving #thanksgiving2020 address! \n\n ',0.22,0.0,0.78,0.04,0.31,0.64
16,joebiden,Fri Nov 27 09:49:28 +0000 2020,'#presidentelectjoebiden is #46 trump is deliberating dragging this on to aid republicans in #georgia \n#joebiden won now send to senate #georgia is beautiful and #blue',0.25,0.0,0.75,0.05,0.32,0.63
17,joebiden,Fri Nov 27 09:49:22 +0000 2020,"' trump: ""don\'t let joe biden take credit for the vaccine... because i was the one for the vaccines."" with these words, trump admits that joe biden is the president-elect.'",0.15,0.0,0.85,0.03,0.35,0.62
18,joebiden,Fri Nov 27 09:49:22 +0000 2020,' we demand climate justice now!\n\n \n#climatechange \n#fridaysforfuture',0.33,0.13,0.54,0.04,0.33,0.63
19,joebiden,Fri Nov 27 09:49:20 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
20,joebiden,Fri Nov 27 09:49:19 +0000 2020,' breaking news - m&amp;s have warned that 15% of foodstuffs are already unavailable for northern ireland consumers. this is now the',0.0,0.09,0.91,0.05,0.32,0.63
21,joebiden,Fri Nov 27 09:49:19 +0000 2020,' i love u \n\n ',0.46,0.0,0.54,0.03,0.37,0.6
22,joebiden,Fri Nov 27 09:49:18 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
23,joebiden,Fri Nov 27 09:49:14 +0000 2020,' but the reality is they have not won!! they are only president elect in the news media!',0.0,0.22,0.78,0.05,0.3,0.65
24,joebiden,Fri Nov 27 09:49:09 +0000 2020,"' 1. avoiding the tacky way trump did it, should learn from trump as to credit-claiming. never go'",0.0,0.12,0.88,0.04,0.36,0.6
25,joebiden,Fri Nov 27 09:49:08 +0000 2020,"'if president-elect is true to his commitment to return the u.s. to a leadership role in multilateralism, he must support the african currency creation, as other continent has their currency, for better living for the african countries currency invention is needed . '",0.26,0.0,0.74,0.06,0.31,0.63
26,joebiden,Fri Nov 27 09:49:07 +0000 2020,"' un &amp; world powers must not allow islamic countries, such as, turkey, iran &amp; pakistan etc to make nuclear bombs as they are highly radicalised emotional and can become a greatest danger for existence of the whole world.'",0.13,0.11,0.76,0.04,0.31,0.65
27,joebiden,Fri Nov 27 09:49:04 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
28,joebiden,Fri Nov 27 09:49:01 +0000 2020,"' for me, donald trump is the most anti-social puke and the most dangerous man since adolf hitler. usa, pleas'",0.0,0.28,0.72,0.04,0.33,0.64
29,joebiden,Fri Nov 27 09:49:00 +0000 2020,' your people cheated shame on them. ',0.0,0.52,0.48,0.13,0.32,0.55
30,joebiden,Fri Nov 27 09:48:59 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
31,joebiden,Fri Nov 27 09:48:59 +0000 2020,"' the lord is my strength and my shield; in him my heart trusts, and i am helped; my heart exult'",0.46,0.0,0.54,0.02,0.43,0.54
32,joebiden,Fri Nov 27 09:48:58 +0000 2020,""" of course it is, that's the qualities of a good leader.""",0.21,0.0,0.79,0.04,0.35,0.61
33,joebiden,Fri Nov 27 09:48:57 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
34,joebiden,Fri Nov 27 09:48:56 +0000 2020,' china should now understand that pakistan is an unnatural rogue state whose army is a corrupt terrorist mafia and any poli',0.0,0.18,0.82,0.06,0.3,0.64
35,joebiden,Fri Nov 27 09:48:54 +0000 2020,""" pomegranate acts as an oxygen mask\n\n pomegranate helps pump the body's oxygen level. due to the antioxidants in pomegranate, it fights free radicals, lowers cholesterol and prevents blood clots. all of this ultimately improves your body's oxygen level and lowers blood pressure""",0.19,0.15,0.66,0.05,0.32,0.63
36,joebiden,Fri Nov 27 09:48:52 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
37,joebiden,Fri Nov 27 09:48:51 +0000 2020,""" thank you! over 80m can't wait either. most votes in our history. thx liza!""",0.3,0.0,0.7,0.05,0.36,0.6
38,joebiden,Fri Nov 27 09:48:50 +0000 2020,""" if we have to refer to as president elect, shouldn't we refer to trump as president reject ?""",0.0,0.13,0.87,0.04,0.38,0.59
39,joebiden,Fri Nov 27 09:48:49 +0000 2020,' if you walked into a room that had a bad smell and decided it was worth a shot to see if farting might help fix that then',0.14,0.11,0.76,0.03,0.41,0.56
40,joebiden,Fri Nov 27 09:48:47 +0000 2020,' jill and i were honored today to talk to some of the heroes on the front lines of this crisis. were thankful today and every',0.29,0.13,0.58,0.03,0.27,0.7
41,joebiden,Fri Nov 27 09:48:44 +0000 2020,""" 666\nwhen the jews return to zion and a comet fills the sky, and the holy roman empire rises; then you and i must die. from the eternal sea he rises, creating armies on either shore, turning man against his brother, 'til man exists no more.\nits over for you.""",0.04,0.11,0.85,0.13,0.25,0.62
42,joebiden,Fri Nov 27 09:48:43 +0000 2020,""" jamais historiquement 22 organisations de gauche syndicales de cette importance n'avaient propos un semblable programme en 34 mesures \net melenchon le 20 mai dernier a refus d'en discuter. \nle 9 juillet aussi\ngachis""",0.07,0.0,0.93,0.04,0.33,0.63
43,joebiden,Fri Nov 27 09:48:43 +0000 2020,""" maybe it's going to take an uncivil war to solve this fraud""",0.09,0.42,0.49,0.05,0.34,0.61
44,joebiden,Fri Nov 27 09:48:43 +0000 2020,"' anej ma jednak w zapasie julk, ktra moe nie zatwierdzi. no i w zanadrzu pozostaje brak papieru w drukarce - mona nie opublikowa i ju.'",0.0,0.08,0.92,0.04,0.39,0.58
45,joebiden,Fri Nov 27 09:48:41 +0000 2020,' that was up to the governor in each state. they choose to play politics instead of the advice from the federal government. heck my governor allowed a airplane from china to land. and was 3 weeks after our president told us about the virus. then wam this state was high so she',0.04,0.0,0.96,0.06,0.34,0.59
46,joebiden,Fri Nov 27 09:48:37 +0000 2020,' as the first black vp why would you want a stolen election?! you ought to be the first to want to clear up the irregularities. #hispanicsforump #trump2016 #trump2020 #trump2024 we love .',0.24,0.08,0.69,0.05,0.38,0.56
47,joebiden,Fri Nov 27 09:48:34 +0000 2020,"' j\'avais bien dit qu\'il se montrerait raisonnable la fin:\n assure quil quittera ""bien sr"" la maison'",0.13,0.0,0.87,0.04,0.33,0.63
48,joebiden,Fri Nov 27 09:48:33 +0000 2020,' thankful for these two and their leadership.',0.35,0.0,0.65,0.04,0.31,0.65
49,joebiden,Fri Nov 27 09:48:30 +0000 2020,""" come on twitter this dude just said we the people choose unity over division we all know that's not true considering they run around hurt innocent people lighting fires in burning the american flag""",0.06,0.14,0.8,0.05,0.4,0.55
50,joebiden,Fri Nov 27 09:48:30 +0000 2020,"' straight stole that whole conceptualization from me.\nwhat do you get out of this joe.\nit just is so past insanity none of my experiences in life, even professionally, can get me into any kind of understanding of you people.\nwhat do you even worship now that i smashed your idols?'",0.08,0.07,0.85,0.06,0.49,0.45
51,joebiden,Fri Nov 27 09:48:26 +0000 2020,' millions of front line workers like the firefighters and nurses i called today worked away from their families on thanksg',0.11,0.0,0.89,0.04,0.29,0.67
52,joebiden,Fri Nov 27 09:48:24 +0000 2020,"' i want you to honestly try to envision what you are proposing. all the doctors, all the nurses, all the staff at the hospital, all the people who get sick, all the medical experts, all have to be in on this grand global plot to overthrow donald trump.\n\nor there is a pandemic. '",0.13,0.05,0.82,0.08,0.45,0.47
53,joebiden,Fri Nov 27 09:48:21 +0000 2020,' bombshell! joe biden will admit defeat upon pardon from president trump\n! \n#xijinping #trump2020 #usa #ccp #mega #vote #ccpvireus #thenewfedralstatofchina\n #gop #vog #stevekbannon \n#milesguo #trump #joebiden #gfasion \n#ludemedia ',0.14,0.09,0.77,0.04,0.32,0.64
54,joebiden,Fri Nov 27 09:48:15 +0000 2020,""" hey dumbbell! you weren't elected by the electoral college!""",0.0,0.21,0.79,0.05,0.39,0.56
55,joebiden,Fri Nov 27 09:48:14 +0000 2020,' jill and i were honored today to talk to some of the heroes on the front lines of this crisis. were thankful today and every',0.29,0.13,0.58,0.03,0.27,0.7
