ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,realDonaldTrump,Fri Nov 27 09:47:37 +0000 2020,""" yep, the average joe gets $400 million given to him by his father, doesn't do an honest day's work in his life, screws everyone around him and everything he touches turns to shit""",0.05,0.2,0.74,0.08,0.74,0.18
2,realDonaldTrump,Fri Nov 27 09:47:37 +0000 2020,"' ill believe you when you can prove it (hint you cant because it didnt happen). hate lost, thats a win for america. hopefully one day youll see that.'",0.3,0.07,0.63,0.19,0.32,0.48
3,realDonaldTrump,Fri Nov 27 09:47:36 +0000 2020,"' i am from the uk and i feel sorry for you. trump is a deluded idiot. it is embarrassing. my parents lived in the great usa, and must be turning in their graves. my dad used to talk about tan suits funnily enough!'",0.13,0.18,0.69,0.03,0.34,0.63
4,realDonaldTrump,Fri Nov 27 09:47:36 +0000 2020,' best loser in history! ',0.38,0.29,0.34,0.04,0.32,0.64
5,realDonaldTrump,Fri Nov 27 09:47:34 +0000 2020,' having a temper tantrum because #diaperdon is trending is probably not the best way to get #diaperdon to stop trending.',0.0,0.4,0.6,0.05,0.36,0.59
6,realDonaldTrump,Fri Nov 27 09:47:34 +0000 2020,"' no, i prefer my freedom individual and my nationality is not a shame. unity, yeah right?'",0.28,0.13,0.59,0.02,0.48,0.5
7,realDonaldTrump,Fri Nov 27 09:47:34 +0000 2020,""" now biden is presidentdon't cry""",0.34,0.0,0.66,0.05,0.33,0.62
8,realDonaldTrump,Fri Nov 27 09:47:34 +0000 2020,' i am support mr. president trump 110% on this issue.',0.21,0.0,0.79,0.06,0.33,0.61
9,realDonaldTrump,Fri Nov 27 09:47:33 +0000 2020,' dear \n\nthey just won georgia. \n\nagain. ',0.51,0.0,0.49,0.04,0.35,0.62
10,realDonaldTrump,Fri Nov 27 09:47:33 +0000 2020,"' #diaperdon , if the electoral college votes for biden, will you concede and leave the white house?'",0.0,0.07,0.93,0.23,0.44,0.32
11,realDonaldTrump,Fri Nov 27 09:47:32 +0000 2020,' whats really sad is thatvifvitvwas a lie trumps behaviors made it totally believable',0.0,0.21,0.79,0.04,0.33,0.63
12,realDonaldTrump,Fri Nov 27 09:47:32 +0000 2020,' the strike force lawyers confused the counties from 2 different states mo with mi. garbage data in garbage results out.',0.0,0.17,0.83,0.03,0.33,0.63
13,realDonaldTrump,Fri Nov 27 09:47:32 +0000 2020,' i bet its that awful #diaperdon . how disrespectful.\n\n#maga? #maya #diaperdonjr',0.0,0.21,0.79,0.03,0.36,0.61
14,realDonaldTrump,Fri Nov 27 09:47:32 +0000 2020,"' the real risk, second only to the trump coup, is a civil war.'",0.0,0.33,0.67,0.04,0.37,0.58
15,realDonaldTrump,Fri Nov 27 09:47:31 +0000 2020,' also hospitals where going bankrupt because people where scared to go to the hospital so anyone who died was considered covid so they would make money and i get it everyone was terrified i was but i have a .01% chance of dying being so young',0.05,0.17,0.78,0.04,0.42,0.53
16,realDonaldTrump,Fri Nov 27 09:47:30 +0000 2020,""" poor liddle #diaperdon made a boom boom in the election, and he's mad because him can't blame the boom boo""",0.08,0.24,0.68,0.04,0.3,0.66
17,realDonaldTrump,Fri Nov 27 09:47:30 +0000 2020,"' remember when #diaperdon tried to steal the election by removing mailboxes, but i'",0.0,0.14,0.86,0.03,0.38,0.58
18,realDonaldTrump,Fri Nov 27 09:47:29 +0000 2020,' fox news is going down because of your affiliation with them. anything you touch turns to crap. your presidency was a big fail.',0.0,0.22,0.78,0.07,0.39,0.53
19,realDonaldTrump,Fri Nov 27 09:47:29 +0000 2020,"' completely false. we are doing very well, - on his campaigns unsuccessful efforts to overturn electio'",0.12,0.13,0.75,0.08,0.31,0.61
20,realDonaldTrump,Fri Nov 27 09:47:28 +0000 2020,""" no you didn't. you're just a angry and spoiled kid.""",0.0,0.38,0.62,0.06,0.41,0.53
21,realDonaldTrump,Fri Nov 27 09:47:28 +0000 2020,' #diaperdonald #diaperdon yeah donald you loser! ',0.18,0.31,0.51,0.04,0.47,0.49
22,realDonaldTrump,Fri Nov 27 09:47:28 +0000 2020,""" you're a devil""",0.0,0.59,0.41,0.1,0.35,0.55
23,realDonaldTrump,Fri Nov 27 09:47:27 +0000 2020,' #diaperdon has filled our beautiful house w/white trash since 2017\n\nlook at the difference in these pics #tinydesk cr',0.18,0.0,0.82,0.3,0.36,0.34
24,realDonaldTrump,Fri Nov 27 09:47:25 +0000 2020,' trump sigue sosteniendo que l gan.',0.33,0.0,0.67,0.04,0.33,0.63
25,realDonaldTrump,Fri Nov 27 09:47:24 +0000 2020,' either that or uphold the damn policy',0.0,0.28,0.72,0.04,0.75,0.21
26,realDonaldTrump,Fri Nov 27 09:47:24 +0000 2020,"' good! you wont be missed!! (and, just for the record, hell never leave twitter. for him, its like a drug.)'",0.31,0.15,0.54,0.04,0.58,0.38
27,realDonaldTrump,Fri Nov 27 09:47:24 +0000 2020,' im excited to welcome back to georgia next saturday for a rally with &amp; me! we will always ha',0.24,0.0,0.76,0.03,0.38,0.58
28,realDonaldTrump,Fri Nov 27 09:47:24 +0000 2020,' pardon julian assange and edward snowden. \n\nnothing will enrage the deep state more.',0.13,0.2,0.67,0.06,0.21,0.73
29,realDonaldTrump,Fri Nov 27 09:47:24 +0000 2020,""" what have i made up? and have you read 230? i have and it's a good law.""",0.16,0.0,0.84,0.05,0.35,0.6
30,realDonaldTrump,Fri Nov 27 09:47:23 +0000 2020,"' just watched the plot against the president on amazon prime. explains the russia collusion hoax, exposes the corrupt people'",0.08,0.16,0.76,0.05,0.31,0.65
31,realDonaldTrump,Fri Nov 27 09:47:23 +0000 2020,""" i'm so sorry""",0.0,0.37,0.63,0.04,0.41,0.55
32,realDonaldTrump,Fri Nov 27 09:47:22 +0000 2020,' #diaperdon is trending number two in the united states ',0.31,0.0,0.69,0.04,0.31,0.64
33,realDonaldTrump,Fri Nov 27 09:47:22 +0000 2020,"' yeah man, you will have a lot work to do to vanish so much filth in the world.'",0.11,0.0,0.89,0.04,0.46,0.5
34,realDonaldTrump,Fri Nov 27 09:47:21 +0000 2020,""" the hell is your point? do precedents expire if they're not overwritten by new ones?""",0.0,0.25,0.75,0.07,0.57,0.37
35,realDonaldTrump,Fri Nov 27 09:47:20 +0000 2020,""" too bad .\nhe's your president now.\n""",0.0,0.37,0.63,0.07,0.33,0.6
36,realDonaldTrump,Fri Nov 27 09:47:20 +0000 2020,' lara ..keep up the good work.. trumpsters are trying to keep us down .. free speech',0.29,0.0,0.71,0.08,0.32,0.6
37,realDonaldTrump,Fri Nov 27 09:47:19 +0000 2020,' trump is upset because #diaperdon is trendin and he wants to sue twitter because it violates national security.\n\ntotal t',0.0,0.25,0.75,0.05,0.36,0.59
38,realDonaldTrump,Fri Nov 27 09:47:19 +0000 2020,' loser',0.0,0.77,0.23,0.04,0.33,0.63
39,realDonaldTrump,Fri Nov 27 09:47:19 +0000 2020,"' twitter doesnt need you , dont let the door hit you in the ass on the way out . bye , not missing you'",0.07,0.12,0.81,0.09,0.87,0.04
40,realDonaldTrump,Fri Nov 27 09:47:18 +0000 2020,"' if there is enough time,we can help biden get all the votes,from now on china first,us second'",0.14,0.0,0.86,0.04,0.37,0.59
41,realDonaldTrump,Fri Nov 27 09:47:18 +0000 2020,""" you sick traitor, that's ok biden will be president 2020/harris january 20th """,0.13,0.19,0.69,0.05,0.36,0.59
42,realDonaldTrump,Fri Nov 27 09:47:18 +0000 2020,' one of the greatest presidents ',0.41,0.0,0.59,0.04,0.34,0.62
43,realDonaldTrump,Fri Nov 27 09:47:18 +0000 2020,""" really? you are whining and threatening because you don't like negative trends about yourself?\n\ndon't supporters see what you are doing? leading them by their noses to see what you can get them to do so that when you start your own media company they will follow?\n\npathetic!""",0.05,0.2,0.75,0.17,0.4,0.43
44,realDonaldTrump,Fri Nov 27 09:47:17 +0000 2020,"' according to your own definition, how is twitter a threat? you have to be a lot more detailed.'",0.0,0.16,0.84,0.11,0.4,0.5
