ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,KingJames,Sun Nov 29 16:21:42 +0000 2020,"""please help us ma'am and sir and people\n """,0.42,0.0,0.58,0.08,0.34,0.57
2,KingJames,Sun Nov 29 16:21:40 +0000 2020,' win a real ring lefraud',0.43,0.0,0.57,0.03,0.46,0.51
3,KingJames,Sun Nov 29 16:21:38 +0000 2020,' adults play 1130. tune in',0.32,0.0,0.68,0.04,0.33,0.63
4,KingJames,Sun Nov 29 16:21:15 +0000 2020,"' u know when u say a ""bag"", dude only got 600$ to get ko\'d by a youtuber. lol'",0.14,0.0,0.86,0.03,0.42,0.54
5,KingJames,Sun Nov 29 16:21:38 +0000 2020,' adults play 1130. tune in',0.32,0.0,0.68,0.04,0.33,0.63
6,KingJames,Sun Nov 29 16:19:06 +0000 2020,""" too bad, it's no wrs cuz then lbj could cover \n\n#broncos \n#saints \n\n#seahawks we'd give you geno for jeudy, just think of how that alliteration rolls off the tongue, john """,0.0,0.16,0.84,0.04,0.36,0.61
7,KingJames,Sun Nov 29 16:18:23 +0000 2020,' ok i just',0.42,0.0,0.58,0.03,0.37,0.6
8,KingJames,Sun Nov 29 16:17:43 +0000 2020,' with a multi million dollar budget and access to thee best trainers he may lol',0.33,0.0,0.67,0.04,0.34,0.63
9,KingJames,Sun Nov 29 16:17:42 +0000 2020,' perfect representation of the butter soft nba',0.35,0.0,0.65,0.04,0.32,0.64
10,KingJames,Sun Nov 29 16:16:33 +0000 2020,' logan would destroy lebron.',0.0,0.47,0.53,0.04,0.28,0.68
11,KingJames,Sun Nov 29 16:15:13 +0000 2020,"' in a year unlike anything, this win means everything. #youcantstopla\n\n '",0.29,0.0,0.71,0.04,0.33,0.63
12,KingJames,Sun Nov 29 16:13:31 +0000 2020,'share this with bron \n ',0.31,0.0,0.69,0.03,0.36,0.61
13,KingJames,Sun Nov 29 16:12:43 +0000 2020,' sorry lebron',0.0,0.39,0.61,0.04,0.26,0.7
14,KingJames,Sun Nov 29 16:11:58 +0000 2020,' great interview on - question - that outfit is next level (cam newton / lebron james energy). ca',0.27,0.0,0.73,0.04,0.32,0.64
15,KingJames,Sun Nov 29 16:10:03 +0000 2020,'this fight would be legendary!! let me know who you think would win. v.s. ',0.22,0.13,0.65,0.03,0.44,0.53
16,KingJames,Sun Nov 29 16:09:36 +0000 2020,' high praise from my neffew!! ',0.41,0.0,0.59,0.03,0.47,0.5
17,KingJames,Sun Nov 29 16:09:29 +0000 2020,"' ""picture paragraphs unloaded \nwise words being quoted \npeeped the weakness the weakness in the rap game\n and sowed it"" some of the tightest bars ever rip tupac shakur'",0.0,0.17,0.83,0.03,0.29,0.68
18,KingJames,Sun Nov 29 16:09:21 +0000 2020,' nate robinsons life after the loss to jake paul ',0.0,0.19,0.81,0.04,0.35,0.6
19,KingJames,Sun Nov 29 16:08:43 +0000 2020,"' dear lord,\nthank you for watching over me &amp; my family. thank you for supplying our needs. i pray that you touch our lives wh'",0.25,0.0,0.75,0.04,0.43,0.53
20,KingJames,Sun Nov 29 16:08:43 +0000 2020,' nate called him out it wouldve been a bad look if he dodged it and hes still proving himself and im pretty sure everyone thought nate was gonna dog him so its not his fault hes not facing real competition',0.16,0.07,0.77,0.03,0.44,0.53
21,KingJames,Sun Nov 29 16:07:03 +0000 2020,' who watches 50 year old men box? #losers',0.0,0.3,0.7,0.04,0.37,0.59
22,KingJames,Sun Nov 29 16:06:59 +0000 2020,'i swear. uncle snoop the real goat! ',0.0,0.18,0.82,0.1,0.31,0.6
23,KingJames,Sun Nov 29 16:06:34 +0000 2020,'4 rings on my dominant hand i feel like ',0.42,0.0,0.58,0.03,0.43,0.53
24,KingJames,Sun Nov 29 16:05:57 +0000 2020,' high praise from my neffew!! ',0.41,0.0,0.59,0.03,0.47,0.5
25,KingJames,Sun Nov 29 16:04:18 +0000 2020,'when does good today is going to say he is the baby version of him .. im calling it',0.14,0.0,0.86,0.04,0.43,0.53
26,KingJames,Sun Nov 29 16:04:08 +0000 2020,' obviously knows nothing about fighting',0.3,0.0,0.7,0.04,0.38,0.58
27,KingJames,Sun Nov 29 16:04:05 +0000 2020,' obviously knows nothing about fighting',0.3,0.0,0.7,0.04,0.38,0.58
28,KingJames,Sun Nov 29 16:03:27 +0000 2020,' may god have mercy on my enemies today',0.33,0.23,0.43,0.03,0.37,0.6
29,KingJames,Sun Nov 29 16:03:13 +0000 2020,"' trump is continuing an old republican tactic...to manipulate black voter loyalty to presidents kennedy and johnson and to the democratic party.\nthe southern strategy, controversial voter requirements, political propaganda, etc. have impacted voter decisions and participation.'",0.09,0.09,0.82,0.05,0.29,0.66
30,KingJames,Sun Nov 29 16:00:47 +0000 2020,' help us please',0.71,0.0,0.29,0.09,0.32,0.59
31,KingJames,Sun Nov 29 15:58:41 +0000 2020,' i laughed before remembering that as soon as james gets a jammed finger hell forfeit',0.14,0.21,0.65,0.03,0.6,0.37
