ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,MarcusRashford,Sun Nov 29 16:27:38 +0000 2020,' passing the ball to to result the winning goal\n#ggmu #soumun #arswol #rashford rashford #southampton #wizkidliveyt #evelee #mufc #manchesterunited #manunited #manutd #soumnu ',0.13,0.0,0.87,0.05,0.31,0.64
2,MarcusRashford,Sun Nov 29 16:26:48 +0000 2020,' lets gooooooooo winning goal and assist by ',0.3,0.0,0.7,0.04,0.34,0.62
3,MarcusRashford,Sun Nov 29 16:26:20 +0000 2020,' should have shot instead of passing to fred late on. still searching for form and confidence.',0.17,0.0,0.83,0.04,0.33,0.63
4,MarcusRashford,Sun Nov 29 16:26:08 +0000 2020,' thank you ',0.46,0.0,0.55,0.07,0.44,0.49
5,MarcusRashford,Sun Nov 29 16:25:00 +0000 2020,"' for our next game ill need you to score some goals, need to gather points for my #fpl team\nthanks in advance\nalso keep up the good work '",0.09,0.09,0.82,0.03,0.36,0.61
6,MarcusRashford,Sun Nov 29 16:23:56 +0000 2020,'i love you ',0.58,0.0,0.42,0.08,0.5,0.42
7,MarcusRashford,Sun Nov 29 16:23:07 +0000 2020,' good looking',0.59,0.0,0.41,0.04,0.33,0.63
8,MarcusRashford,Sun Nov 29 16:22:42 +0000 2020,'super sub edison cavani ',0.49,0.0,0.51,0.04,0.33,0.63
9,MarcusRashford,Sun Nov 29 16:22:10 +0000 2020,'he gave a fatal dose of illegal drugs to a young white girl.\nhe laughed as he filmed her dying as she begged for help.\nhe is now a free man thanks our liberal judiciary. #blackprivilege ',0.2,0.15,0.65,0.14,0.6,0.25
10,MarcusRashford,Sun Nov 29 16:21:58 +0000 2020,"' if he gets offered an mbe/obe great, but he should never go and accept it. stick two fingers up to the establishment.'",0.1,0.1,0.8,0.04,0.37,0.59
11,MarcusRashford,Sun Nov 29 16:21:13 +0000 2020,' as soon as he moved to left wing he was playing good',0.3,0.0,0.7,0.05,0.36,0.59
12,MarcusRashford,Sun Nov 29 16:20:48 +0000 2020,' you know what is joke? reza mokhtar tak kenal timb menteri kbs',0.15,0.0,0.84,0.09,0.38,0.54
13,MarcusRashford,Sun Nov 29 16:20:26 +0000 2020,""" yeah. ok. and winged unicorns will fly and dogs &amp; cats will mate.\n\nhow about providing them with the decent education like you've been prioritizing for years now.""",0.15,0.0,0.85,0.03,0.29,0.68
14,MarcusRashford,Sun Nov 29 16:20:09 +0000 2020,"' sometimes, people whove had a difficult start can become bitter, but some use it to become better.'",0.17,0.16,0.67,0.03,0.39,0.59
15,MarcusRashford,Sun Nov 29 16:20:03 +0000 2020,'this is also for those stupid ass idiotic pundits who sit on sky sports and other platforms to talk shit about martial. open yr fuckjng6mouth about marcusrashford now ',0.0,0.36,0.64,0.12,0.87,0.01
16,MarcusRashford,Sun Nov 29 16:19:59 +0000 2020,'okay. epic. ',0.49,0.0,0.51,0.04,0.33,0.63
17,MarcusRashford,Sun Nov 29 16:19:33 +0000 2020,' absolutely brilliant babes \nwhat a game ',0.37,0.0,0.63,0.04,0.3,0.66
18,MarcusRashford,Sun Nov 29 16:19:01 +0000 2020,' well done boys you pulled that out the bag !!!! is on fire!! omgggg woooow amaz',0.1,0.17,0.73,0.05,0.37,0.59
19,MarcusRashford,Sun Nov 29 16:18:36 +0000 2020,'well done boys you pulled that out the bag !!!! is on fire!! omgggg woooow amazing cross #ggmu ',0.28,0.09,0.63,0.05,0.36,0.59
