ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,SHAQ,Sun Nov 29 00:06:02 +0000 2020,' welcome to philadelphia dwight and shaq!',0.35,0.0,0.65,0.04,0.3,0.66
2,SHAQ,Sun Nov 29 00:05:16 +0000 2020,' ill take shaq over wilt any day. sorry.',0.0,0.37,0.63,0.04,0.32,0.64
3,SHAQ,Sun Nov 29 00:05:08 +0000 2020,'when* my bad',0.0,0.64,0.36,0.01,0.53,0.46
4,SHAQ,Sun Nov 29 00:05:01 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
5,SHAQ,Sun Nov 29 00:04:15 +0000 2020,'the swarm of birsds like alfred kitchkock invaded the shaq',0.22,0.0,0.78,0.05,0.31,0.64
6,SHAQ,Sun Nov 29 00:04:04 +0000 2020,' kita tgk cerita siccin sampai habis tapi masa tu belum kawen lah. haha',0.19,0.0,0.81,0.03,0.41,0.56
7,SHAQ,Sun Nov 29 00:02:41 +0000 2020,' will this prove created the papadia?',0.25,0.0,0.75,0.04,0.3,0.66
8,SHAQ,Sun Nov 29 00:02:34 +0000 2020,' is a national treasure',0.35,0.0,0.65,0.05,0.33,0.62
9,SHAQ,Sun Nov 29 00:02:28 +0000 2020,' twitter learn a new word every week and dont shut the fuck up',0.18,0.0,0.82,0.16,0.81,0.02
10,SHAQ,Sun Nov 29 00:02:14 +0000 2020,' bro them ppl go fuck us up ',0.0,0.3,0.7,0.28,0.72,0.0
11,SHAQ,Sun Nov 29 00:02:10 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
12,SHAQ,Sun Nov 29 00:02:02 +0000 2020,"' tv, channel astro citra 108. mlm td pkul 9. kalau ada ulangan nnti tgokla. hehe'",0.0,0.14,0.86,0.04,0.33,0.63
13,SHAQ,Sun Nov 29 00:00:37 +0000 2020,"' its #smallbizsat, a great reminder to show support for our favorite independent businesses every way we can all season long. sho'",0.34,0.0,0.66,0.06,0.29,0.65
14,SHAQ,Sun Nov 29 00:00:18 +0000 2020,' this bitch done made friends in miami and shit lmao they said shaq annoying im screaming ',0.22,0.4,0.38,0.02,0.98,0.0
15,SHAQ,Sun Nov 29 00:00:04 +0000 2020,""" there's a ghost in my house i'm scared heeeeeeeeeeeelp """,0.0,0.37,0.63,0.03,0.36,0.61
16,SHAQ,Sat Nov 28 23:59:36 +0000 2020,'any more men made like in my generation ?! seeking a whole lotta man with a whole lotta potential ',0.14,0.0,0.86,0.03,0.41,0.56
17,SHAQ,Sat Nov 28 23:59:08 +0000 2020,'i know shaq somewhere pissed. ',0.0,0.46,0.54,0.04,0.33,0.63
18,SHAQ,Sat Nov 28 23:58:42 +0000 2020,' family traditions!!! only appropriate that kobe made it to the top of the tree this year. larry and are close by. ',0.11,0.0,0.89,0.05,0.31,0.64
19,SHAQ,Sat Nov 28 23:58:37 +0000 2020,"' everybody going through they own shit, be nice'",0.21,0.27,0.52,0.07,0.92,0.01
20,SHAQ,Sat Nov 28 23:58:26 +0000 2020,'that steph is great as a 2nd option on a championship team just like kobe was with shaq and kyrie was with lebron. ',0.31,0.0,0.69,0.03,0.36,0.61
21,SHAQ,Sat Nov 28 23:57:33 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
22,SHAQ,Sat Nov 28 23:57:22 +0000 2020,'that was damn near #3 for shaq.',0.0,0.31,0.69,0.04,0.7,0.26
23,SHAQ,Sat Nov 28 23:57:18 +0000 2020,'niggas eat abortion pussy and wonder why they hear voices in there heads ',0.0,0.16,0.84,0.05,0.95,0.0
24,SHAQ,Sat Nov 28 23:57:08 +0000 2020,""" another thing that's insane is ad is a top 10 player if not higher who had an amazing playoff run &amp; dominate finals &amp; people are still crying about bi &amp; zo. real laker fans value over players. i guarantee you during the kobe/shaq rings no 1 was crying over eddie j &amp; van exel""",0.14,0.18,0.68,0.06,0.41,0.53
25,SHAQ,Sat Nov 28 23:56:39 +0000 2020,'im taking 03 man like who going to stop shaq and kobe ',0.16,0.14,0.7,0.05,0.49,0.47
26,SHAQ,Sat Nov 28 23:55:41 +0000 2020,' yall gon cover the spread bro lol',0.29,0.0,0.71,0.02,0.5,0.48
27,SHAQ,Sat Nov 28 23:54:34 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
28,SHAQ,Sat Nov 28 23:54:10 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
29,SHAQ,Sat Nov 28 23:54:08 +0000 2020,' lol\n\ncut off of 7 all nba just to show you how dumb this argument is:\n\njordan 11\nlebron 16\nmagic 10\nkareem 15\nmalone 14\nduncan 15\nshaq 14\nbird 10\nkobe 15\ndirk 12\nwest 12\nrussell 11\ncousy 12\nolajuwon 12\nstockton 11\nrobertson 11\nbaylor 10\nbarkley 11\nhavlicek 11\ndavid robinson 10',0.0,0.15,0.85,0.05,0.35,0.6
30,SHAQ,Sat Nov 28 23:53:48 +0000 2020,"' its #smallbizsat, a great reminder to show support for our favorite independent businesses every way we can all season long. sho'",0.34,0.0,0.66,0.06,0.29,0.65
31,SHAQ,Sat Nov 28 23:52:58 +0000 2020,"' yup, he averaged like 40 a game during that stretch and phil had t'",0.15,0.0,0.85,0.05,0.31,0.64
32,SHAQ,Sat Nov 28 23:52:51 +0000 2020,' he would have put up better numbers without sharing ball with shaq\n\nwe know thi',0.16,0.13,0.71,0.03,0.38,0.59
33,SHAQ,Sat Nov 28 23:51:08 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
34,SHAQ,Sat Nov 28 23:50:03 +0000 2020,' that time nate robinson got shaq with the sneaky dunk ',0.0,0.15,0.85,0.03,0.4,0.57
35,SHAQ,Sat Nov 28 23:49:59 +0000 2020,"' if lebron and ad were a superteam , then so was shaq and kobe , jordan and pippen .... ect.. and of course the real and only and greatest superteam of all , kds warriors'",0.11,0.0,0.89,0.03,0.31,0.66
36,SHAQ,Sat Nov 28 23:49:02 +0000 2020,' rent free ',0.52,0.0,0.48,0.04,0.33,0.63
37,SHAQ,Sat Nov 28 23:48:41 +0000 2020,""" could be robotic shaq hakeem goat center per shaq's own words. he said he had no answers for him.""",0.0,0.1,0.9,0.05,0.32,0.63
