ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,lewishamilton,Sun Nov 29 00:03:00 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
2,lewishamilton,Sun Nov 29 00:02:29 +0000 2020,' claimed his 98th career pole position in an exhilarating bahrain gp qualifying race as he was joined by teammate in p2 and in p3!\n\nwho will emerge victorious tonight?\n\n#f1 #foxsportsf1 #bahraingp ',0.09,0.0,0.91,0.13,0.18,0.69
3,lewishamilton,Sun Nov 29 00:02:26 +0000 2020,' congratulations !\n\nmade in trkiye. \nsee you again \n #turkishgp ',0.29,0.0,0.7,0.06,0.42,0.53
4,lewishamilton,Sun Nov 29 00:01:52 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
5,lewishamilton,Sun Nov 29 00:01:30 +0000 2020,' love this.',0.68,0.0,0.32,0.03,0.36,0.6
6,lewishamilton,Sun Nov 29 00:00:00 +0000 2020,' lewishamilton claimed his 98th career pole position in an exhilarating bahrain gp qualifying race as he was joined by teammate valtteribottas in p2 and in p3!\n\nwho will emerge victorious tonight?\n\n#f1 #foxsportsf1 #bahraingp ',0.08,0.0,0.92,0.13,0.18,0.69
7,lewishamilton,Sat Nov 28 23:59:56 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
8,lewishamilton,Sat Nov 28 23:59:41 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
9,lewishamilton,Sat Nov 28 23:58:53 +0000 2020,"' for these final three races of the season, we are fortunate to not have the pressure on us anymore but that does not mea'",0.13,0.0,0.87,0.05,0.39,0.55
10,lewishamilton,Sat Nov 28 23:58:08 +0000 2020,' funny how you took it to f1',0.29,0.0,0.71,0.06,0.38,0.56
11,lewishamilton,Sat Nov 28 23:57:44 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
12,lewishamilton,Sat Nov 28 23:57:41 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
13,lewishamilton,Sat Nov 28 23:57:38 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
14,lewishamilton,Sat Nov 28 23:56:45 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
15,lewishamilton,Sat Nov 28 23:56:33 +0000 2020,"' for these final three races of the season, we are fortunate to not have the pressure on us anymore but that does not mea'",0.13,0.0,0.87,0.05,0.39,0.55
16,lewishamilton,Sat Nov 28 23:56:27 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
17,lewishamilton,Sat Nov 28 23:56:22 +0000 2020,' oh you must have the fastest car boring',0.0,0.22,0.78,0.06,0.3,0.64
18,lewishamilton,Sat Nov 28 23:56:11 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
19,lewishamilton,Sat Nov 28 23:55:45 +0000 2020,' 98th pole secured ',0.4,0.0,0.6,0.04,0.33,0.63
20,lewishamilton,Sat Nov 28 23:55:31 +0000 2020,' great work ',0.58,0.0,0.42,0.04,0.3,0.67
21,lewishamilton,Sat Nov 28 23:55:12 +0000 2020,""" pole number 98 for - and here's how he did it, with a stormer of a lap under the lights in bahrain \n\n#bahraingp """,0.05,0.0,0.95,0.05,0.29,0.66
22,lewishamilton,Sat Nov 28 23:54:56 +0000 2020,""" pole number 98 for - and here's how he did it, with a stormer of a lap under the lights in bahrain \n\n#bahraingp """,0.05,0.0,0.95,0.05,0.29,0.66
