ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,Casey,Sat Nov 28 15:28:38 +0000 2020,"' respect gets respect, the number of hit tweets that bts has not deserving soty lol'",0.34,0.11,0.55,0.03,0.37,0.59
2,Casey,Sat Nov 28 15:28:34 +0000 2020,' war eagle casey!!',0.0,0.6,0.4,0.04,0.33,0.63
3,Casey,Sat Nov 28 15:28:26 +0000 2020,"'i cant believe ive only been out of work a week, it feels like a month.'",0.14,0.0,0.86,0.04,0.35,0.61
4,Casey,Sat Nov 28 15:28:16 +0000 2020,'study the history of baseball with this free casey at the bat study guide #hiphomeschool #unschool ',0.2,0.0,0.81,0.03,0.34,0.62
5,Casey,Sat Nov 28 15:28:01 +0000 2020,"' so why are there 8945678 hit tweets about bts not deserving soty , respect gets respect'",0.29,0.0,0.71,0.04,0.33,0.62
6,Casey,Sat Nov 28 15:27:52 +0000 2020,"' iowa elegy\n-where ya off to?\n-caseys general store!\n-ope, dont get lost in a cornfield!'",0.16,0.0,0.84,0.05,0.47,0.49
7,Casey,Sat Nov 28 15:26:49 +0000 2020,"' my like father, like daughter #comicbook #kickstarter is now live! \n\n""a high school girl, casey ryder, inherits the very powe'",0.22,0.0,0.78,0.04,0.46,0.5
8,Casey,Sat Nov 28 15:26:09 +0000 2020,' i think im ready to take the next step... *gets down on one knee and pulls phone from pocket* will you... exchange',0.1,0.0,0.9,0.05,0.34,0.61
9,Casey,Sat Nov 28 15:25:36 +0000 2020,"' to share this with you is the most beautiful thing we can, your mom linda juliana casey '",0.27,0.0,0.73,0.07,0.36,0.58
10,Casey,Sat Nov 28 15:25:26 +0000 2020,' rightttt the amount of hit tweets about dynamite not deserving soty pathetic',0.3,0.0,0.7,0.04,0.34,0.62
11,Casey,Sat Nov 28 15:25:18 +0000 2020,"' ""hes a hustler from the word go, is not afraid to try things with his ballclub and above all is unflinchingly loyal.'",0.12,0.0,0.88,0.06,0.38,0.56
12,Casey,Sat Nov 28 15:25:17 +0000 2020,' a lot of nigerians are wicked and it reflects in the kind of houses they build for rent.',0.0,0.16,0.84,0.05,0.27,0.68
13,Casey,Sat Nov 28 15:25:11 +0000 2020,""" the ol' perfessor succeeded bill mckechnie, who resigned following eight seasons as boston's manager to become the skip""",0.13,0.09,0.78,0.04,0.36,0.6
14,Casey,Sat Nov 28 15:25:03 +0000 2020,' free phone!',0.64,0.0,0.36,0.04,0.33,0.63
15,Casey,Sat Nov 28 15:25:02 +0000 2020,"""when the only way to stop the murders is to set up a sting, will carval's glamour-photography past help to find the killers but lose him both his exhibition and casey? #crime #policeprocedural""",0.04,0.34,0.61,0.05,0.32,0.63
16,Casey,Sat Nov 28 15:24:41 +0000 2020,' youg people should be following californias strict lockdown rules as well as wearing masks and socially distancing. if his son is being so reckless then he doesnt deserve to see his family for thanksgiving. lest not to forget that casey and his current children are also young.',0.07,0.07,0.86,0.08,0.37,0.55
17,Casey,Sat Nov 28 15:24:40 +0000 2020,' i love the devereaux family the scenes between jack &amp; abigail were more meaningful for me after watching marci talk',0.26,0.0,0.74,0.02,0.31,0.66
18,Casey,Sat Nov 28 15:24:20 +0000 2020,""" is the only phone company i've ever been with that's never increased my bill for stupid reasons. happy to be a""",0.13,0.19,0.68,0.04,0.34,0.62
19,Casey,Sat Nov 28 15:23:47 +0000 2020,' u look amazing casey!!!! i miss your face ',0.34,0.11,0.55,0.06,0.33,0.62
20,Casey,Sat Nov 28 15:22:47 +0000 2020,"' supporting waterford is callum casey!! going to carrigeen national school and when his classmates coloured kilkenny cats,'",0.17,0.0,0.83,0.06,0.25,0.69
21,Casey,Sat Nov 28 15:21:38 +0000 2020,"' to share this with your child is the most beautiful thing there is on the way we can, your mom linda juliana casey '",0.22,0.0,0.78,0.07,0.31,0.62
22,Casey,Sat Nov 28 15:21:22 +0000 2020,' chargers defensive linemen melvin ingram (knee) and casey hayward (groin) have been ruled out for sunday\n\n',0.06,0.0,0.94,0.03,0.31,0.65
23,Casey,Sat Nov 28 15:20:48 +0000 2020,' me trying not to be jealous ',0.26,0.0,0.74,0.04,0.38,0.59
24,Casey,Sat Nov 28 15:20:35 +0000 2020,"""if anyone's missing a cattle dog and a shepherd off casey beaver your dogs having a hell of an adventure this morning""",0.08,0.24,0.68,0.05,0.46,0.5
25,Casey,Sat Nov 28 15:19:03 +0000 2020,' daryl hall john oates joel persson the butler mario kempe liberty university university of texas rio grande valley?(ut',0.16,0.0,0.84,0.04,0.32,0.64
26,Casey,Sat Nov 28 15:18:50 +0000 2020,"' first trailer for our friend starring dakota johnson, jason segel, and casey affleck, premiering january 22 \n '",0.15,0.0,0.85,0.08,0.32,0.6
27,Casey,Sat Nov 28 15:18:45 +0000 2020,' the signal is monetary expansion everywhere. the problem is people are going to lose half their wealth in a few years.',0.12,0.2,0.69,0.08,0.3,0.62
28,Casey,Sat Nov 28 15:17:24 +0000 2020,'yes! ',0.75,0.0,0.25,0.04,0.33,0.63
29,Casey,Sat Nov 28 15:17:23 +0000 2020,' the time and care lo puts into these stories is shown in how perfectly she writes brett and casey. \n\nthe mixture of tendern',0.25,0.0,0.75,0.04,0.35,0.6
30,Casey,Sat Nov 28 15:17:22 +0000 2020,"'gratitude is the first sign of a thinking, rational creature. - solanus casey #quote '",0.19,0.0,0.81,0.04,0.32,0.64
31,Casey,Sat Nov 28 15:16:18 +0000 2020,' accidentally hit a squirrel yesterday in my car. feel so guilty i could barely sleep. casey anthony is a monster.',0.0,0.24,0.76,0.04,0.38,0.58
32,Casey,Sat Nov 28 15:15:56 +0000 2020,' prof casey also says that mental health considerations and the fact that depression can accompany a terminal illness and',0.0,0.26,0.74,0.04,0.32,0.64
33,Casey,Sat Nov 28 15:15:42 +0000 2020,' lol hed be the kind of guy to get destroyed casey v santorum style',0.15,0.17,0.68,0.04,0.36,0.6
34,Casey,Sat Nov 28 15:15:33 +0000 2020,'i love trixie so much that i sometimes physically cannot comprehend my surroundings and i cry so much it hurts.',0.15,0.23,0.61,0.03,0.42,0.56
35,Casey,Sat Nov 28 15:15:18 +0000 2020,"' since casey cadwallader put bella hadid in this look to open muglers ss20 show, the brand has done no wrong. - i https:/'",0.1,0.0,0.9,0.05,0.29,0.66
36,Casey,Sat Nov 28 15:14:50 +0000 2020,' appreciate it coach casey!',0.43,0.0,0.57,0.04,0.33,0.63
37,Casey,Sat Nov 28 15:14:36 +0000 2020,' i thank god every day for lesean mccoy teaching josh allen how to be cool.',0.35,0.0,0.65,0.04,0.31,0.65
38,Casey,Sat Nov 28 15:14:30 +0000 2020,"' after battling cancer my mom, shelly, entered into eternal life this morning. please pray for the repose of her soul.'",0.16,0.23,0.6,0.03,0.42,0.56
39,Casey,Sat Nov 28 15:14:13 +0000 2020,"' while missing von, casey, harris, purcell missing bouye off and on. 4th hardest schedule in the nfl. best defense in the'",0.2,0.16,0.64,0.04,0.31,0.66
40,Casey,Sat Nov 28 15:13:30 +0000 2020,"' ! , dm l followers fb followers f fb f fb '",0.21,0.0,0.79,0.04,0.33,0.63
41,Casey,Sat Nov 28 15:13:22 +0000 2020,' its 2020 how is sea world still legal???',0.2,0.0,0.8,0.04,0.34,0.62
42,Casey,Sat Nov 28 15:11:41 +0000 2020,' coach casey was not afraid to come at max like that ',0.17,0.0,0.83,0.04,0.39,0.56
43,Casey,Sat Nov 28 15:11:28 +0000 2020,""" absolute rubbish from both of you. yes there is a contract agreeing to the time. doesn't mean that teams that play midweek should be allocated to it. broadcasters choose the teams for that time. start about thinking about fans getting to games at odd times. 4 30 on sunday as bad""",0.12,0.1,0.78,0.04,0.41,0.55
44,Casey,Sat Nov 28 15:11:22 +0000 2020,' good luck this week casey!',0.61,0.0,0.39,0.04,0.33,0.63
45,Casey,Sat Nov 28 15:10:03 +0000 2020,"'acabei que descobri que a pessoa que faz a casey e no binare, sem querer errei o pronome delu uma vez'",0.0,0.1,0.9,0.04,0.34,0.63
46,Casey,Sat Nov 28 15:09:35 +0000 2020,' thanks casey! ',0.52,0.0,0.48,0.04,0.31,0.65
47,Casey,Sat Nov 28 15:09:05 +0000 2020,'prof casey making brilliant points too. #donoharm #dontassistsuicide ',0.32,0.0,0.68,0.04,0.32,0.64
48,Casey,Sat Nov 28 15:08:35 +0000 2020,"' my like father, like daughter #comicbook #kickstarter is now live! \n\n""a high school girl, casey ryder, inherits the very powe'",0.22,0.0,0.78,0.04,0.46,0.5
49,Casey,Sat Nov 28 15:08:16 +0000 2020,""" the became the trenton snowbirds for one game against the . the 'snowbirds' were honouring the l""",0.15,0.0,0.85,0.03,0.25,0.72
50,Casey,Sat Nov 28 15:08:09 +0000 2020,' hi casey my loves the sweetest apple of my eye oh my darling and soulmate',0.47,0.0,0.53,0.03,0.39,0.58
51,Casey,Sat Nov 28 15:08:04 +0000 2020,' new treasurycast! rob welcomes comics pro joe casey to discuss marvel treasury edition #7 - the mighty avengers! https:',0.29,0.13,0.58,0.04,0.29,0.67
52,Casey,Sat Nov 28 15:07:58 +0000 2020,' excellent by putting the broadcasting argument to jrgen klopp when its clearly a premier league issue. its',0.27,0.1,0.63,0.03,0.37,0.6
