ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,Ninja,Sat Nov 28 16:55:23 +0000 2020,"' do your own thing , be true to yourself, do what feels right to you .. a ninja forever #mtndoyouwithnengi '",0.12,0.0,0.88,0.11,0.34,0.55
2,Ninja,Sat Nov 28 16:55:21 +0000 2020,"' never before in her whole /life/ had the ninjas knees felt so weak - even after several rounds of training racing up and down the da-chao statue! her breath was audibly stolen at the sight of the gorgeous ring.\n\nbut..she did listen to eve, so despite being unable to physically '",0.07,0.12,0.81,0.04,0.55,0.41
3,Ninja,Sat Nov 28 16:54:54 +0000 2020,' could at tell us when the ninja gaiden games are coming or if they got in the works or something dont just leave us hanging empty handed while u update nioh &amp; dead or alive fans with what they like well what about we ng fans like which is info on when the next ng games comes out',0.16,0.09,0.75,0.05,0.39,0.56
4,Ninja,Sat Nov 28 16:54:41 +0000 2020,' nak minta tlg share untuk rezeki saya mencari duit poket untuk membantu keluarga. saya ada jual sushi rm1.\n\nlokasi car',0.1,0.0,0.9,0.04,0.33,0.63
5,Ninja,Sat Nov 28 16:54:37 +0000 2020,"' you mean ""a beautiful ninja ?\n\ncos yes, you are\n\n#mtndoyouwithnengi'",0.45,0.0,0.55,0.1,0.37,0.53
6,Ninja,Sat Nov 28 16:54:31 +0000 2020,' sorry bro',0.0,0.39,0.61,0.04,0.33,0.63
7,Ninja,Sat Nov 28 16:54:26 +0000 2020,""" #fortnite | dinmica \n\nel comentario con menos likes gana un regalo 'icon series loserfruit o ninja emote' gratis! """,0.19,0.0,0.81,0.04,0.35,0.6
8,Ninja,Sat Nov 28 16:54:12 +0000 2020,' still weird how they bought back the ninja and lufu skin when they said they will never be coming back. kinda scamming but ight',0.0,0.05,0.95,0.03,0.35,0.62
9,Ninja,Sat Nov 28 16:54:11 +0000 2020,"' do your own thing , be true to yourself, do what feels right to you .. a ninja forever #mtndoyouwithnengi '",0.12,0.0,0.88,0.11,0.34,0.55
10,Ninja,Sat Nov 28 16:54:06 +0000 2020,'they went from this to this ninja go was my child hood and ben 10 was they ruined both of them ',0.0,0.13,0.87,0.07,0.35,0.59
11,Ninja,Sat Nov 28 16:53:57 +0000 2020,"' dropping in with perfect stealth, the set is back! '",0.28,0.09,0.63,0.04,0.34,0.62
12,Ninja,Sat Nov 28 16:53:56 +0000 2020,""" since ninja came back out i think it's the appropriate time to repost this masterpiece i made """,0.21,0.0,0.79,0.04,0.34,0.63
13,Ninja,Sat Nov 28 16:53:38 +0000 2020,"' hey que onda? robert como eres tan objetivo y tus anlisis son muy buenos. me gustara que hicieras un vdeo sobre tenten, una chica con bastante potencial. cmo la desarollarias tu? un arreglando personajes. sin quitarle su especialidad que son las herramientas ninja'",0.0,0.08,0.92,0.04,0.34,0.62
14,Ninja,Sat Nov 28 16:53:34 +0000 2020,""" since ninja came back out i think it's the appropriate time to repost this masterpiece i made """,0.21,0.0,0.79,0.04,0.34,0.63
15,Ninja,Sat Nov 28 16:53:33 +0000 2020,' yeah flak jacket is too op and ghost and ninja dont work as described',0.13,0.13,0.74,0.03,0.36,0.6
16,Ninja,Sat Nov 28 16:53:25 +0000 2020,"' that is just not fair how i had the dance,i refund it, a season later it comes back..and i dont have enough '",0.0,0.08,0.92,0.04,0.34,0.63
17,Ninja,Sat Nov 28 16:53:25 +0000 2020,"' ""o trabalho duro vence o dom natural"" e com essas palavras que damos parabns ao nosso ninja mais esforado, o nosso somb'",0.1,0.0,0.9,0.04,0.33,0.63
18,Ninja,Sat Nov 28 16:53:24 +0000 2020,"""- kauzito comea a causar o caos no gta san andreas e pega 4 estrelas de policia\n\n*surge o helicptero da swat com os policias descendo de rapel*\n\n- kauzito: ''olha anson, um ninja'' """,0.0,0.06,0.94,0.05,0.38,0.57
19,Ninja,Sat Nov 28 16:53:15 +0000 2020,"' enfia o ninja no rabo, cheio de shuriken seus fdp!! #kabumcovarde'",0.0,0.2,0.8,0.04,0.34,0.62
20,Ninja,Sat Nov 28 16:53:14 +0000 2020,"' give an awkward laugh ""ehhheh not that much also"" and quietly ninja my way out.'",0.19,0.08,0.73,0.03,0.38,0.59
21,Ninja,Sat Nov 28 16:53:02 +0000 2020,' yoville is better',0.49,0.0,0.51,0.06,0.32,0.62
22,Ninja,Sat Nov 28 16:52:58 +0000 2020,' abey ye mute krke reply dene ka ninja technique k2wa phd kia ',0.0,0.24,0.76,0.04,0.33,0.63
23,Ninja,Sat Nov 28 16:52:58 +0000 2020,""" oh oh oh ooooh hey jessie, hey jessie. some kids on twitter said the n word, hey jessie, hey jessie. i'm insecure so i'm gonna purge, hey jessie, hey jessie. guacamole ninja penis, this is offensive and racist, doxing children makes me a sadist. it's a real good thing im famous""",0.05,0.16,0.79,0.07,0.33,0.6
24,Ninja,Sat Nov 28 16:52:47 +0000 2020,"'no estoy seguro cunto tiempo quedarn los cosmticos de ninja &amp; loserfruit en la tienda de #fortnite, el ganador ser el primer comentario que vea con 0 likes! \n\nsi te tengo en epic te lo enviar instantneamente de lo contrario debers esperar 48h ( id: codigobolivar4) gl '",0.1,0.0,0.9,0.04,0.34,0.62
25,Ninja,Sat Nov 28 16:52:47 +0000 2020,'well shit.. new prison map is available on phasmophobia. guess i know what i am doing tonight',0.09,0.3,0.61,0.06,0.86,0.08
26,Ninja,Sat Nov 28 16:52:37 +0000 2020,' 11/28/2020 16:52:29 |love the awesome ninja',0.62,0.0,0.38,0.04,0.33,0.63
27,Ninja,Sat Nov 28 16:52:31 +0000 2020,"' adopt me give away for christmas!\n\nitems: nfr frog, a toy, ninja and business monkey!\n\nrules!\nfollow me ('",0.14,0.0,0.86,0.03,0.22,0.75
28,Ninja,Sat Nov 28 16:52:27 +0000 2020,'like i hadda extend a few ninja mode tips cuz... eh? \nembarrazzing.',0.3,0.0,0.7,0.04,0.34,0.62
29,Ninja,Sat Nov 28 16:52:25 +0000 2020,""" en vrai je suis grave remplaable, je n'ai rien de spcial""",0.0,0.19,0.81,0.04,0.33,0.63
30,Ninja,Sat Nov 28 16:52:17 +0000 2020,"'namjoon posed like a ninja, ""yeah, he\'s right. we are not your right hands. get lose!""\n\nyoongi pulled seokjin\'s costume, ""let me transform. where\'s my cat costume?""\n\n""oohh, yoongicchi!! it\'s in my white drawer.""\n\nyoongi took the costume and transformed like an anime girl.'",0.17,0.0,0.82,0.11,0.52,0.37
31,Ninja,Sat Nov 28 16:52:16 +0000 2020,"'umm yeah, the ninja headband stays on during sex'",0.22,0.0,0.78,0.02,0.53,0.45
32,Ninja,Sat Nov 28 16:52:14 +0000 2020,"' ""o trabalho duro vence o dom natural"" e com essas palavras que damos parabns ao nosso ninja mais esforado, o nosso somb'",0.1,0.0,0.9,0.04,0.33,0.63
