ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,TheEllenShow,Sat Nov 28 15:57:16 +0000 2020,' isnt she adorable?',0.0,0.47,0.53,0.04,0.41,0.55
2,TheEllenShow,Sat Nov 28 15:57:16 +0000 2020,' isnt she adorable?',0.0,0.47,0.53,0.04,0.41,0.55
3,TheEllenShow,Sat Nov 28 15:53:26 +0000 2020,' this may sound weird for some but my celebrity crush was and is #ellendegeneres',0.0,0.2,0.8,0.03,0.34,0.63
4,TheEllenShow,Sat Nov 28 15:51:02 +0000 2020,'$1k of 10k raised. help us get craig out of the cold. craig #camps out until we reach our #fundraising goal for help share the word ',0.27,0.0,0.73,0.04,0.32,0.63
5,TheEllenShow,Sat Nov 28 15:50:28 +0000 2020,'rting this to terrorise the tl ',0.0,0.41,0.59,0.04,0.31,0.64
6,TheEllenShow,Sat Nov 28 15:44:59 +0000 2020,' wow they are some bobby dazzlers ',0.35,0.0,0.65,0.05,0.3,0.65
7,TheEllenShow,Sat Nov 28 15:39:09 +0000 2020,'thats a very good picture. ',0.39,0.0,0.61,0.04,0.33,0.63
8,TheEllenShow,Sat Nov 28 15:38:00 +0000 2020,"' this holiday on \n\nall new with james corden, justin bieber , diane keaton , lil nas x , meghan trainor a'",0.11,0.0,0.89,0.03,0.31,0.65
9,TheEllenShow,Sat Nov 28 15:35:56 +0000 2020,' my mission in #life. accepted! join me for the #hope #purpose &amp; #joy that is so needed right now!\n\n',0.42,0.0,0.58,0.04,0.38,0.58
10,TheEllenShow,Sat Nov 28 15:29:35 +0000 2020,'the following is a list of celebrities that i appreciate and admire and would like them to use their enormous platforms to help #freerealitywinnernow \n \n \n\n \n \n \n \n\n \n',0.29,0.0,0.71,0.04,0.35,0.61
11,TheEllenShow,Sat Nov 28 15:29:35 +0000 2020,"""this holiday on \n\nall new with james corden, justin bieber , diane keaton , lil nas x , meghan trainor and more \n\nit's the most wonderful time of the year # 12dayofgiveaways """,0.18,0.0,0.82,0.03,0.29,0.67
12,TheEllenShow,Sat Nov 28 15:27:11 +0000 2020,'its the 1 yr anniversary of the super awkward interview where dakota johnson dismantled ellens rebuke. ',0.19,0.08,0.73,0.04,0.3,0.66
13,TheEllenShow,Sat Nov 28 15:25:50 +0000 2020,'ellen degeneres christmas just kidding no thank you have a nice fall (fall over)',0.24,0.12,0.64,0.04,0.38,0.57
14,TheEllenShow,Sat Nov 28 15:27:57 +0000 2020,"""but fall over into something soft like a bed so it doesn't hurt too much but it's embarrassing""",0.28,0.13,0.58,0.04,0.38,0.59
15,TheEllenShow,Sat Nov 28 15:25:12 +0000 2020,' please check out my sweet friend &amp; new song we need love its amazing ! ',0.58,0.0,0.42,0.03,0.35,0.62
16,TheEllenShow,Sat Nov 28 15:23:43 +0000 2020,' thank you for sharing my #kickstarter campaign! 33% funded!! can we get to 50% this week?! #te',0.29,0.0,0.71,0.04,0.38,0.58
17,TheEllenShow,Sat Nov 28 15:23:15 +0000 2020,' thank you for sharing my #kickstarter campaign! 33% funded!! can we get to 50% this week?! #te',0.29,0.0,0.71,0.04,0.38,0.58
