ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,dantdm,Sat Nov 28 16:31:10 +0000 2020,"'ldshadowlady and most of the crazy craft crew, dantdm, ihascupquake, stampy, and grian '",0.0,0.17,0.83,0.03,0.35,0.62
2,dantdm,Sat Nov 28 16:30:37 +0000 2020,' your welcome',0.6,0.0,0.4,0.09,0.32,0.59
3,dantdm,Sat Nov 28 16:28:17 +0000 2020,"'the actual video goes for what, 2 seconds. thats a mega intro. maybe it should be dantdm fights boredom'",0.0,0.23,0.77,0.05,0.28,0.68
4,dantdm,Sat Nov 28 16:27:40 +0000 2020,'dantdm but yeah no chance ',0.31,0.24,0.45,0.02,0.46,0.51
5,dantdm,Sat Nov 28 16:26:51 +0000 2020,"' oh god there were so many! a lot of them are still around too :)\nstampylongnose, iballisticsquid, dantdm, ldshadowlady, smallishbeans (and everyone in that kinda group), aphmau, ihascupquake, heyimbee, vikkstar123....'",0.08,0.0,0.92,0.06,0.33,0.61
6,dantdm,Sat Nov 28 16:23:47 +0000 2020,""" in my opinion, dantdm s don't fit well in the nowhere theme. """,0.0,0.25,0.75,0.03,0.37,0.6
7,dantdm,Sat Nov 28 16:22:43 +0000 2020,' play pokmon crown tundra',0.38,0.0,0.62,0.04,0.33,0.63
8,dantdm,Sat Nov 28 16:22:24 +0000 2020,"""in my opinion, dantdm s don't fit well in the nowhere theme. """,0.0,0.26,0.74,0.03,0.37,0.6
9,dantdm,Sat Nov 28 16:22:18 +0000 2020,'dantdm?? idk ',0.0,0.47,0.53,0.04,0.33,0.63
10,dantdm,Sat Nov 28 16:22:17 +0000 2020,"' my favs were pat and jen, ldshadowlady, dantdm, stampy (yes ik i was a basic mf)'",0.14,0.0,0.86,0.03,0.34,0.62
11,dantdm,Sat Nov 28 16:17:32 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
12,dantdm,Sat Nov 28 16:17:07 +0000 2020,'dantdm lmao ',0.66,0.0,0.34,0.04,0.37,0.59
13,dantdm,Sat Nov 28 16:16:12 +0000 2020,' dantdm has made it to the nice list! ',0.26,0.0,0.74,0.04,0.31,0.65
14,dantdm,Sat Nov 28 16:14:55 +0000 2020,'roblox youtuber russoplays has been arrested due to hitting dantdm',0.0,0.26,0.74,0.04,0.33,0.63
15,dantdm,Sat Nov 28 16:14:49 +0000 2020,' i had no autocorrect on when i have caps lol sorry',0.18,0.23,0.59,0.03,0.42,0.55
16,dantdm,Sat Nov 28 16:11:29 +0000 2020,' hahaha',0.78,0.0,0.22,0.04,0.33,0.63
17,dantdm,Sat Nov 28 16:09:59 +0000 2020,' and me lol',0.48,0.0,0.52,0.02,0.42,0.56
18,dantdm,Sat Nov 28 16:09:29 +0000 2020,"' yeah i know, but she deserves to know how smooth-brained she is'",0.12,0.0,0.88,0.04,0.5,0.46
19,dantdm,Sat Nov 28 16:05:05 +0000 2020,' yes! do a video where old generation minecrafter (you) and new generation mine crafter (george) meet! ',0.16,0.0,0.84,0.05,0.22,0.72
20,dantdm,Sat Nov 28 16:04:41 +0000 2020,' secret crush\n\ndantdm_87 secretly loves you! \nwho loves you in secret?\n\n ',0.43,0.0,0.56,0.06,0.38,0.57
21,dantdm,Sat Nov 28 16:04:01 +0000 2020,"'youtube ! i watched yters like stampy and dantdm and my mc obsession started frm there, it came full circle when i saw my cousins had bought premium mc and that gave me an excuse to beg my parents for it too '",0.09,0.05,0.86,0.03,0.38,0.59
22,dantdm,Sat Nov 28 16:02:05 +0000 2020,'why does he look like dantdms evil twin brother? lmao ',0.34,0.23,0.43,0.03,0.45,0.52
23,dantdm,Sat Nov 28 16:09:29 +0000 2020,"' yeah i know, but she deserves to know how smooth-brained she is'",0.12,0.0,0.88,0.04,0.5,0.46
24,dantdm,Sat Nov 28 15:54:57 +0000 2020,"' popularmmos, dantdm, stacyplays, stampy, and ldshadowlady were my favorites :d'",0.22,0.0,0.78,0.03,0.35,0.62
25,dantdm,Sat Nov 28 15:54:45 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
26,dantdm,Sat Nov 28 15:49:24 +0000 2020,"' wait no im dumb, probs pewdiepie or dantdm or somethjn'",0.19,0.16,0.65,0.04,0.36,0.6
27,dantdm,Sat Nov 28 15:43:05 +0000 2020,"""one?? ok uh ldshadowlady my sister loves watching her so having her join would make my sister go insane it would be the best and she's one of the ogs yk\n\nbut also dantdm minx smajor tapl grian or pewds """,0.26,0.05,0.69,0.03,0.56,0.41
28,dantdm,Sat Nov 28 15:37:18 +0000 2020,"""aight, i admit that i buy fake merch... but hey, you can't judge me!, i ain't spending $50 for a hoodie with 1 small text printed on it. the only youtubers that i would buy legit merchandise from is coryxkenshin and dantdm... ( i guess jacksepticeye's merch is pretty cool too...)""",0.15,0.04,0.81,0.03,0.44,0.53
29,dantdm,Sat Nov 28 15:37:15 +0000 2020,'ugh idk dantdm would be cool ',0.22,0.4,0.38,0.04,0.33,0.63
30,dantdm,Sat Nov 28 15:37:04 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
31,dantdm,Sat Nov 28 15:32:08 +0000 2020,' thanks for everything dan ',0.37,0.0,0.63,0.03,0.29,0.68
32,dantdm,Sat Nov 28 15:22:47 +0000 2020,' get p5r great game',0.51,0.0,0.49,0.04,0.26,0.7
33,dantdm,Sat Nov 28 15:12:27 +0000 2020,' the n word is a racial slur not a curse word get your facts straight',0.25,0.0,0.75,0.06,0.32,0.62
34,dantdm,Sat Nov 28 15:10:33 +0000 2020,""" i'm 12 but why do kids my age dont like it when adults say swear words like shit or fuck like calm down dan is an adult let him say swear words""",0.19,0.3,0.51,0.06,0.93,0.01
35,dantdm,Sat Nov 28 15:10:21 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
36,dantdm,Sat Nov 28 15:05:37 +0000 2020,' ikr! lazarbeam is one if the best tubers! can we get some support here!',0.37,0.0,0.63,0.08,0.35,0.57
37,dantdm,Sat Nov 28 15:00:39 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
38,dantdm,Sat Nov 28 14:58:57 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
