ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,garyvee,Sat Nov 28 15:36:29 +0000 2020,' \n \n\n\n\n\n#iso interest in this comc sale!\n\nan average of 65%',0.25,0.0,0.75,0.04,0.33,0.63
2,garyvee,Sat Nov 28 15:36:23 +0000 2020,""" \n \n\n\n\n\n#iso interest in this comc sale!\n\nan average of 65% off srp! \n\nthere's ridiculously low prices! \n\n+5% cash back from tim! \n\n#getsome in 2020 \n\ncomc link in thread \n """,0.08,0.15,0.76,0.04,0.32,0.64
3,garyvee,Sat Nov 28 15:36:15 +0000 2020,' same feeling here. so many late nights and great conversations.',0.38,0.0,0.62,0.06,0.3,0.64
4,garyvee,Sat Nov 28 15:35:50 +0000 2020,"' thanks for getting back to me, sending much love and great vibes back your way. will touch base soon and go into further detail via email as i remain confident in the way i feel, 1ex., this took place/began in september, not october. grateful for everyones time, enjoy your day!'",0.27,0.04,0.69,0.05,0.24,0.72
5,garyvee,Sat Nov 28 15:34:48 +0000 2020,' \n \n\n\n\n\n#iso interest in this comc sale!\n\nan average of 70%',0.25,0.0,0.75,0.04,0.33,0.63
6,garyvee,Sat Nov 28 15:34:41 +0000 2020,""" \n \n\n\n\n\n#iso interest in this comc sale!\n\nan average of 70% off srp! \n\nthere's ridiculously low prices! \n\n#getsome in 2020 \n\ncomc link in thread \n """,0.1,0.17,0.73,0.04,0.33,0.63
7,garyvee,Sat Nov 28 15:30:15 +0000 2020,' \n \n\n\n\n\n#iso interest in this orlando cepeda /50\n\nends tonig',0.25,0.0,0.75,0.04,0.33,0.63
8,garyvee,Sat Nov 28 15:30:05 +0000 2020,' \n \n\n\n\n\n#iso interest in this top prospect #/99\n\nends tonigh',0.5,0.0,0.5,0.04,0.33,0.63
9,garyvee,Sat Nov 28 15:29:48 +0000 2020,' \n \n\n\n\n\n#iso interest in this tyler chatwood \n\n#getsome in',0.25,0.0,0.75,0.04,0.33,0.63
10,garyvee,Sat Nov 28 15:28:24 +0000 2020,"' your inspiration towards meaningful entrepreneurship and towards a genuinely happy humanity stays with us, and those of us who stay a while longer will continue your work with humility and passion'",0.31,0.0,0.69,0.09,0.29,0.62
11,garyvee,Sat Nov 28 15:28:22 +0000 2020,'#podcast finding the special sauce ',0.35,0.0,0.65,0.07,0.3,0.63
12,garyvee,Sat Nov 28 15:28:10 +0000 2020,""" it isn't comfortable to let go of someone who inspires us, but the inspiration that has started always stays, never leaves us.""",0.23,0.07,0.7,0.06,0.41,0.53
13,garyvee,Sat Nov 28 15:27:18 +0000 2020,' wait\n is my favorite person oo',0.33,0.0,0.67,0.04,0.39,0.57
14,garyvee,Sat Nov 28 15:24:28 +0000 2020,"' hey andrew, just listening to this and wanted to circle back. im so sorry youre feeling this way \n\npls feel free to email me at zain.gaziani.com as well, id love to help you in any way i can '",0.28,0.04,0.68,0.05,0.39,0.56
